publisher,wikidata identifier
Mousse Publishing,Q134588891
Moved Pictures,Q121300421
multinational corporation,Q161726
Multiples Inc.,Q124332967
Multiples Inc.,Q124332967
Ghost World,Q3104961
Carrillo Gil Art Museum,Q5817917
Museo per la Memoria di Ustica,Q3328417
Museum of Contemporary Craft,Q14709081
Multiples Inc.,Q124332967
Mütter Museum,Q1569444
Mystical Places Press,Q130474362
Mál og menning,Q16422664
N.E. Thing Co.,Q6951536
NAi Publishers,Q4607576
New Society for Visual Arts,Q1697125
Nan Becker,Q117117969
National Gallery of Canada,Q1068063
Smithsonian American Art Museum,Q1192305
National Museum of Women in the Arts,Q861608
Nazraeli Press,Q25022244
Weserburg,Q2563859
New England Foundation for the Arts,Q16990433
New Langton Arts,Q7009735
New Pyramid Press,Q138379765
New Reform,Q122459575
New Reform Gallery,Q137394462
Michael Rosenfeld Gallery,Q28816418
Michael Rosenfeld Gallery,Q28816418
Museum of Modern Art,Q188740
"Printed Matter, Inc.",Q15619211
"Printed Matter, Inc.",Q15619211
Rizzoli International Publications,Q55740815
Something Else Press,Q2299703
Something Else Press,Q2299703
New York University Press,Q7014807
Something Else Press,Q2299703
Nexus Press,Q117885051
Nexus Press,Q117885051
Nexus Press,Q117885051
Ninja Press,Q138379769
North American Review,Q3344093
Institut d'art contemporain de Villeurbanne,Q3151912
NSCAD University,Q1131966
OK Harris Gallery,Q7072631
Octopus Foundation,Q122922119
Oeckler,Q119772688
Otis College of Art and Design,Q7108771
Oxford Brookes University,Q132478
Peter Blüm,Q113815261
Peter Curran,Q60053718
Patricio Medina,Q59604659
Philip Shaw,Q54197752
MoMA PS1,Q1139848
Pace Gallery,Q7121900
Paradise Press,Q138379801
Passagen Verlag,Q526472
Paul Soulellis,Q25688033
Pavillons de Bercy,Q899223
Penguin Books,Q1336200
Perishable Press,Q138474363
Perkolator Press,Q138379821
Peter Blum Edition,Q24204273
PhotoForum,Q97357349
Phyllis Bilick,Q117118051
picture book,Q254554
"Printed Matter, Inc.",Q15619211
Poltroon Press,Q131292552
University of Southern Maine,Q3244049
University of Southern Maine,Q3244049
powerHouse Books,Q7236199
The Polygon Gallery,Q7240975
Presscraft Papers,Q138379853
Princeton Architectural Press,Q3403508
Print Center,Q130592054
"Printed Matter, Inc.",Q15619211
"Printed Matter, Inc.",Q15619211
"Printed Matter, Inc.",Q15619211
"Printed Matter, Inc.",Q15619211
"Printed Matter, Inc.",Q15619211
"Printed Matter, Inc.",Q15619211
Propexus,Q10809046
Punctum Books,Q28455152
Pyracantha Press,Q138379868
Pyramid Atlantic Art Center,Q105098312
Pyramid Atlantic Art Center,Q105098312
Rockport Publishers,Q127543910
Quercus Press,Q138379873
R. Bloch,Q115554601
R. Bloch,Q115554601
Rafał Sikora,Q58433685
Radius Books,Q25051907
Raking Leaves,Q23941070
Trusted Media Brands,Q7300422
Red Angel Press,Q138379883
Red Hen Press,Q17086810
Red Moon Press,Q136464568
Redstone Press,Q18161403
Reindeer Werk,Q19299031
Fierro,Q3659298
Revolver Publishing,Q64211402
Revolver Publishing,Q64211402
Rhode Island School of Design,Q49208
Rice University Art Gallery,Q62050458
Richard Hambleton,Q503470
Ridinghouse,Q7332990
Roaring Brook Press,Q105583931
Robin Crozier,Q55218437
Robin Price,Q58147833
Ronald Feldman Gallery,Q56398280
Rohrhof,Q37700444
Routledge,Q1508259
Roy Colmer,Q51393645
Duff,Q2002666
Saint Mary's University Art Gallery,Q138495560
Salon Verlag,Q15435891
Samira Rahimi,Q65098166
Samuel Dorsky Museum of Art,Q18342605
Chronicle Books,Q5114023
Chronicle Books,Q5114023
Sara Garden Armstrong,Q7421632
