creatorID,name
683,"Roy, 1930-2007 De Forest"
684,"Barbara, 1948- Rosenthal"
685,"Nathan Lyons"
686,"Albright-Knox Art Gallery"
687,"Philippe Hunt"
688,"Gail Rubini"
689,"Vagrich Bakhchani͡an"
690,"Norton T. Dodge"
691,"Paul Rutkovsky"
692,"Michael, 1951- Wilson"
693,"Richard Grasby"
694,"Nicholas Sloan"
695,"Paul Zelevansky"
696,"Telfer Stokes"
697,"Dieter, 1930-1998 Roth"
698,"Richard (Radio journalist) Hamilton"
699,"William and Noma Copley Foundation"
700,"Enzo Cucchi"
701,"Anthony d'Offay (Firm)"
702,"Amsterdam (Netherlands). Stedelijk Museum"
703,"Wadsworth Atheneum"
704,"Holly Metz"
705,"Barbara, 1945- Kruger"
706,"Alison, 1928-1993 Smithson"
707,"David, active 1982 Horton"
708,"Paul, 1948- Berger"
709,"Eleanor Antin"
710,"Judith Stein"
711,"Robert Jacks"
712,"Joost A. Romeu"
713,"Carol Trantor"
714,"Mary Kelly"
715,"Susan Weil"
716,"P. H., Polk"
717,"Pearl Cleage"
718,"Athena Tacha"
719,"Linn Underhill"
720,"Richard Nonas"
721,"Helen Douglas"
722,"Tony Shafrazi"
723,"Lucio Pozzi"
724,"Joseph Gabe"
725,"Mary Jean Kenton"
726,"Ann Chapman Scales"
727,"Joyce Cutler-Shaw"
728,"Robert Mangold"
729,"Ellen Lanyon"
730,"Michael Kirby"
731,"Sylvia Plimack Mangold"
732,"Lucy R. Lippard"
733,"Philip Perkis"
734,"Fernando Millán"
735,"Poppy Johnson"
736,"Bruce D. Kurtz"
737,"Kamitz Tó"
738,"Bloke Papelero Transhumante"
739,"Cristina, 1941- Peri Rossi"
740,"Gabriela, 1889-1957 Mistral"
741,"Chema, 1971- Cebolla"
742,"Editorial Cornoque"
743,"Jon (Artist) Martin"
744,"Sonia (Writer of children's books) Díaz"
745,"Voces de Mujeres (Project)"
746,"Eva Carot"
747,Cristinaperisgrau
748,"Publicaciones Humo"
749,"Naming Books Publishing"
750,"Ari Kiss"
751,"Bruno Efímero"
752,"Makuto Heyoka"
753,"Ilo Studio"
754,"Nave Obeso"
755,"Marta Cartu"
756,"Gabriela, 1983- Contreras"
757,"Feminismo Estrías Autogestión"
758,"Claudia (Rodríguez Silva) Rodríguez"
759,"Lucrecia Masson"
760,"Merma (Publisher)"
761,"COHITEPA Conexión"
762,"Associação Chili Com Carne"
763,"Lía Ramírez"
764,"Planeta Gris Ediciones"
765,"Afonso, 1988- Ferreira"
766,"Ruru Comix"
767,"Júlia, 1981- Barata"
768,"Juan Ros"
769,"David Tapia"
770,"Óscar 1982- Sanz"
771,"Teenage Thunder (Publisher)"
772,"Alvaro Nofuentes"
773,"Laperla (Artist)"
774,"Marcos (Artist) Morán"
775,"Javier, 1969- Cejas"
776,"Humano Derecho Radio"
777,"UL Colectivo (Group of artists)"
778,"Esteban, 1979- Hernández"
779,"Ediciones Q3"
780,"Ediciones Bezerrú"
781,"Ediciones Valientes"
782,"Claudia Mendoza Olivar"
783,"Gerardo Mendoza Olivar"
784,"Poetry Slam Sur"
785,"Ediciones Trasnochadas"
786,"Celinda Ojeda González"
787,"María Perales"
788,"Zainab Al-Mashat"
789,"Sarah Alfarhan"
790,"Pratt Institute"
791,"Luisa Hiromi"
792,Escif
793,"Hola Ediciones"
794,"Colectivo Entramados (Group of artists)"
795,"Yaminay Chaudhri"
796,"Magnolia Cartonera"
797,"Lit ediciones"
798,"Udli Editions"
799,"Sheryl, 1983- Oppenheim"
800,"Small Editions (Firm)"
801,"Armando R. Freger"
802,"Dick, 1938-1998 Higgins"
803,"Wolf, 1932-1998 Vostell"
804,"Leslie Bellavance"
805,"Gary, 1954- Schneider"
806,"Deborah Martin Kao"
807,"Ellen Wallenstein"
808,"Mitchell Kane"
809,"Arturo, 1889-1947 Martini"
810,"Silvano, 1937- Scheiwiller"
811,"Vanni Scheiwiller"
812,"Carlo, 1906-1978 Scarpa"
813,"Mel, 1940- Bochner"
814,"Judith Blumberg"
815,"Susan Elizabeth, 1947- King"
816,"Carol Flax"
817,"Ricardo Bloch"
818,"Jenni, 1953- Lukač"
819,"Tanya Guryel"
820,"Jeanne Galatzer-Levy"
821,"Ruth Surgal"
822,"Chicago Women's Liberation Union"
823,"Jane (Abortion service)"
824,"It's Going Down (Organization)"
825,"Adam Gnade"
826,"Daniel Gorostiaga"
827,"Olaf Ladousse"
828,"Carlos Camaleón"
829,"Colectivo Virtual Room"
830,"Pilar Barrios Manzano"
831,Sopapo
832,"Marta Mizuiro"
833,"Colectivo Diatriba"
834,"Constanzx Álvarez Castillo"
