creatorID,name,wikidata identifiers
315,"Rolando, 1953- Estévez Jordán",
316,"Laura, 1966- Ruiz Montes",
317,"Dania, 1954- Rodríguez García",
318,Frank David Valdés,
319,Gladys Mederos,
320,"Israel, 1973- Domínguez",
321,Abigail Wendler Uhteg,
322,Karen Hanmer,
323,Peter R Thomas,
324,Donna (Donna Sue) Thomas,
325,Peter & Donna Thomas (Firm),
326,Ann Lovett,
327,Dawn Hachenski,
328,"William Cullen, 1794-1878 Bryant",
329,"Tan, 1957- Lin",
330,Shana Moulton,Q16215956
331,James Copeland,
332,"Abū al-Ṭayyib Aḥmad ibn al-Ḥusayn, 915 or 916-965 Mutanabbī",
333,Kathy Steinsberger,
334,Lester B. Morrison,
335,"James, 1978- Franco",
336,Alanna Heiss,Q4708262
337,"Frank, 1939- Bidart",
338,"Eric, 1946- Boman",
339,"Jason, 1969- Schmidt",
340,"Marianne, 1981- Spurr",
341,"Roni, 1955- Horn",
342,M. R. (Marilyn R.) Rosenberg,
343,"Ann R., 1937- Shapiro",
344,"Christian, 1972- Patterson",
345,"Ruth, 1956- Behar",
346,"Stuart, 1972- Griffiths",
347,Gordon MacDonald,
348,"Miguel, 1940- Barnet",
349,Jimmie Durham,Q445487
350,"William, 1955- Kentridge",
351,Acadia Summer Arts Program,
352,Pat E. Patterson,
353,"Jiří, 1976- Skála",
354,Tranzit (Organization),
355,Ho Baron,Q5873930
356,"Catalina, 1981- Jaramillo Quijano",
357,"Fina, 1923- García Marruz",
358,Agustina Ponce,
359,Natalia Bolívar Aróstegui,Q1787534
360,"Sergeĭ Aleksandrovich, 1895-1925 Esenin",
361,"Juan Luis, 1938- Hernández Milián",
362,Hugo Hodelín Santana,
363,Manuel Darío García de Zayas,
364,"Idan, 1979- Hayosh",
365,Corina Künzli,
366,"Salome, 1979- Schmuki",
367,"Mischa, 1970- Andriessen",
368,Saara Hacklin,
369,Ṭali Hayosh,
370,Misha Hollenbach,
371,"Anne, 1950- Carson",
372,Judy M Anderson,
373,Ginny Hoyle,
374,Dexter Sinister (Firm),
375,"Francis, 1959- Alÿs",
376,"Brad, 1951- Freeman",
377,J. A. B. Books,
378,Elizabeth Munger,
379,Christian Marclay,Q923306
380,Jean-Pierre Criqui,Q113781188
381,Paula Cooper Gallery,
382,"Richard, 1945- Long",
383,IvoryPress,
384,Simon Lewandowski,
385,Wayne Clements,
386,Steve W. Garnett,
387,Yann Serandour,Q3571700
388,"Jérôme, 1970- Saint-Loubert Bié",
389,American Battle Monuments Commission,
390,"Juan Carlos, 1962- Restrepo Rivas",
391,Yoko Ono,
392,"Scott, 1945- Helmes",
393,Stamp Pad Press,
394,Hermetic Press,
395,"Elisabeth, 1973- Tonnard",
396,"Diana, 1940- Michener",
397,Julieta Casado,
398,Francesca Massai,
399,"Iván, 1975- Moiseeff",
400,Lorena Iglesias,Q87740206
401,Esteban Castromán,
402,Fritz Haeg,
403,John Divola,Q6229503
404,Jeffrey Kastner,
405,Sina Najafi,Q7521629
406,Slavs and Tatars (Group of artists),
407,Gerrie van Noord,
408,Aline Diépois,
409,Tomato Gizolme,
410,"Gertrude, 1874-1946 Stein",
