title,authors,zotero_item_id,google_books_id,google_books_url
"Máximas mínimas para la supervivencia de los argentinos","Benavídez Bedoya, Alfredo; Benavídez, Lucas; Editora, La Marca",9421,sE8aAAAACAAJ,https://books.google.com/books?id=sE8aAAAACAAJ
"Mémoire d'un voyage en Oceánie","Deschamps, F",9411,sfq6AAAACAAJ,https://books.google.com/books?id=sfq6AAAACAAJ
NEWS,"Flechtner, Thomas",9671,4XCmMQEACAAJ,https://books.google.com/books?id=4XCmMQEACAAJ
"Nada para el destino = Nothing for destiny","Veroni, Ral; Lestani, Flopa; Ferro, Gabo",14215,6HjNYgEACAAJ,https://books.google.com/books?id=6HjNYgEACAAJ
"Nada para el destino = Nothing for destiny","Veroni, Ral; Lestani, Flopa; Ferro, Gabo",14234,6HjNYgEACAAJ,https://books.google.com/books?id=6HjNYgEACAAJ
Nakazora,"Yamamoto, Masao; Nakajima, Reiko; Press, Nazraeli; 中島礼子, 1948-",12024,jzXdPQAACAAJ,https://books.google.com/books?id=jzXdPQAACAAJ
"Name, class, subject","Pereira, Sharmini; Khalid, Aisha",12042,6hsStwAACAAJ,https://books.google.com/books?id=6hsStwAACAAJ
"Narcisismo y emblema","Veroni, Ral",9814,B9N8PQAACAAJ,https://books.google.com/books?id=B9N8PQAACAAJ
Nationalfeiertag,"Stuke, Katja",15777,rqVFjwEACAAJ,https://books.google.com/books?id=rqVFjwEACAAJ
"Negative publicity : artefacts of extraordinary rendition","Black, Crofton; Clark, Edmund (Photographer)",17294,nYsvjgEACAAJ,https://books.google.com/books?id=nYsvjgEACAAJ
Nets,"Bervin, Jen; Ugly Duckling Presse, |publisher",9725,nUlaAAAAMAAJ,https://books.google.com/books?id=nUlaAAAAMAAJ
"Never realized","Carroli, Mary Ellen; Blanchon, Robert; Samaras, Connie",9722,djnZtgAACAAJ,https://books.google.com/books?id=djnZtgAACAAJ
"Nine nameless mountains","Maanantai (Artists' collective), |photographer",9943,kJiXnAEACAAJ,https://books.google.com/books?id=kJiXnAEACAAJ
"Nine swimming pools and a broken glass.","Ruscha, Edward",12005,gKQiMgEACAAJ,https://books.google.com/books?id=gKQiMgEACAAJ
"Nineteen nights in San Francisco","Kennedy, Christine",9969,okAAGQAACAAJ,https://books.google.com/books?id=okAAGQAACAAJ
"No longer innocent : book art in America : 1960-1980","Bright, Betty",9873,Rka1ngEACAAJ,https://books.google.com/books?id=Rka1ngEACAAJ
"No man's land","Henner, Mishka",12398,ILE0twAACAAJ,https://books.google.com/books?id=ILE0twAACAAJ
"No man's land","Henner, Mishka",12399,ILE0twAACAAJ,https://books.google.com/books?id=ILE0twAACAAJ
"No quería caer en el ridículo por eso me tiré antes","Villanueva Segovia, Mariana",9810,biakoAEACAAJ,https://books.google.com/books?id=biakoAEACAAJ
"No trespassing","Tillery, Val",9818,pqQaRAAACAAJ,https://books.google.com/books?id=pqQaRAAACAAJ
Noray,"Valbuena, Juan",11998,e_StngEACAAJ,https://books.google.com/books?id=e_StngEACAAJ
"Now I am lost","Hernández, Raúl",9651,ZLdMngEACAAJ,https://books.google.com/books?id=ZLdMngEACAAJ
"Now will not be with us forever","Es, Maurice",14240,h7uCjwEACAAJ,https://books.google.com/books?id=h7uCjwEACAAJ
"Now you know : this is serious photography : a photo work book","Shwachman, Irene",11989,tWgRSQAACAAJ,https://books.google.com/books?id=tWgRSQAACAAJ
Nox,"Carson, Anne; Catullus, Gaius Valerius",11988,PetvPgAACAAJ,https://books.google.com/books?id=PetvPgAACAAJ
Nox,"Carson, Anne; Catullus, Gaius Valerius",11988,uQ57ky3yElIC,https://books.google.com/books?id=uQ57ky3yElIC
"Nu tonjo nu xinchi zak'u = Canto al movimiento de la vida","Garduño Cervantes, Julio; Cartonera, Ratona",11982,qLB0oAEACAAJ,https://books.google.com/books?id=qLB0oAEACAAJ
"Objects / encounters : bookworks at Flying Fish Press 1987-2001","Gallagher, Connell; Imperatore, Cynthia |; Library.|, University of Vermont",14243,j-I4AQAAIAAJ,https://books.google.com/books?id=j-I4AQAAIAAJ
"Ocean dunes","Timm, Jill",11975,vIjKOwAACAAJ,https://books.google.com/books?id=vIjKOwAACAAJ
"Odios falsos","Estévez Jordán, Rolando; Vigía, Ediciones; Ruiz Montes, Laura; Lorente, Luis",12172,ORMxlAEACAAJ,https://books.google.com/books?id=ORMxlAEACAAJ
"Offset : artists' books & prints.","Freeman, Brad; Walker, Todd; Drucker, Johanna; (Firm), Granary Books; Ruther, Joseph W.; Inter Planetary Productions, |publisher",9862,pT0lPAAACAAJ,https://books.google.com/books?id=pT0lPAAACAAJ
Ohio,"Zellar, Brad; Soth, Alec",9349,uTZaMwEACAAJ,https://books.google.com/books?id=uTZaMwEACAAJ
Ohio,"Zellar, Brad; Soth, Alec",12166,uTZaMwEACAAJ,https://books.google.com/books?id=uTZaMwEACAAJ
"Oiga mire","Durán H., Rodrigo",10184,mVTRjgEACAAJ,https://books.google.com/books?id=mVTRjgEACAAJ
"Olafur Eliasson : never tired of looking at each other : only the mountain and I.","Elíasson, Ólafur",12163,rGHANAEACAAJ,https://books.google.com/books?id=rGHANAEACAAJ
"Old man and sea","Cox, Joy; Hemingway, Ernest",9278,_KKnoAEACAAJ,https://books.google.com/books?id=_KKnoAEACAAJ
"On democracy","Guntzel, Jeff Severns; Azimi, Negar; Calabrese, Nickolas; Hussein, Saddam; Chan, Paul",12159,mUVCLgEACAAJ,https://books.google.com/books?id=mUVCLgEACAAJ
Once:once,"Yepes Lozano, Stefhany",9801,0ysLnwEACAAJ,https://books.google.com/books?id=0ysLnwEACAAJ
"One family of objects = Jedna skupina předmětů","Skála, Jiří; (Organization)|, Tranzit",12156,100ETwEACAAJ,https://books.google.com/books?id=100ETwEACAAJ
"One family of objects = Jedna skupina předmětů","Skála, Jiří; (Organization)|, Tranzit",12156,I4BqKQEACAAJ,https://books.google.com/books?id=I4BqKQEACAAJ
