itemID,itemKey,itemType,dateAdded,dateModified,title,abstractNote,date,publisher,place,volume,numberOfVolumes,edition,series,seriesNumber,numPages,pages,ISBN,ISSN,url,accessDate,language,shortTitle,libraryCatalog,callNumber,archiveLocation,rights,extra,publicationTitle,bookTitle,websiteTitle,university,collections
3686,874TEKG2,book,"2019-07-30 19:26:39","2019-07-30 19:37:14","Livres d'artistes: l'invention d'un genre: 1960-1980 / Michelet, Jacqueline.",,"1997-00-00 1997","Bibliothèque nationale de France",Paris,,,,"Cahiers d'une exposition ;; 20; Variation: Cahiers d'une exposition ;; 20.",,48,,2-7177-2025-1,,,,French,"Livres d'artistes","OCLC WorldCat FirstSearch",,,,,,,,,"Reference resources"
3687,FJG9S6MU,journalArticle,"2019-07-30 19:26:39","2019-07-30 19:37:14","Journal - The Los Angeles Institute of Contemporary Art.",,"1974-00-00 1974",,,,,,,,,,,0094-8985,,,English,,"Open WorldCat",,,,,"Journal - The Los Angeles Institute of Contemporary Art.",,,,"Reference resources"
3688,UZWUFX86,book,"2019-07-30 19:26:39","2019-07-30 19:37:14","Inventory of the Swedish archives of artist books and reference material",,"1996-00-00 1996","Cambridge : 20th Century Art Archives ; San Francisco, Calif. : Steven Leiber",,,,,,,,,,,,,English,,"OCLC WorldCat FirstSearch",,,,,,,,,"Reference resources"
3689,9WCCSGP6,book,"2019-07-30 19:26:39","2019-07-30 19:37:14","Imagining language: an anthology / McCaffery, Steve.",,"1998-00-00 1998","MIT Press","Cambridge, Mass.",,,,,,618,,0-262-18186-X,,,,English,"Imagining language","OCLC WorldCat FirstSearch",,,,,,,,,"Reference resources"
3690,8D897TC6,book,"2019-07-30 19:26:39","2019-07-30 19:37:14","Illuminating words: the artist's books of Christopher Gausby / Antonetti, Martin G.",,"1999-00-00 1999","Smith College Museum of Art","Northampton, Mass.",,,,,,,,0-87391-051-6,,,,English,"Illuminating words","OCLC WorldCat FirstSearch",,,,,,,,,"Reference resources"
3691,26GP7DK4,book,"2019-07-30 19:26:39","2019-07-30 19:37:14","Hojeando--- : cuatro décadas de libros y revistas de artistas en España = Leafing--- : four decades of artists' books and magazines in Spain",,"2008-00-00 2008","Commericial distribution, ACTAR D",Madrid,,,,,,,,84-96933-15-6,,,,,Hojeando---,,,,,,,,,,"Reference resources"
3692,93S2WR5M,book,"2019-07-30 19:26:39","2019-07-30 19:37:14","Fiction? non-fiction?: catalogue raisonné des livres de = a catalogue raisonné of the books by Jean-Michel Alberola ... [et al.].",,"1995-00-00 1995","Florence Loewy",Paris,,,,,,69,,2-911136-00-4,,,,"French; Text in French and English.",Fiction?,"OCLC WorldCat FirstSearch",,,,,,,,,"Reference resources"
3693,IRT3TNET,book,"2019-07-30 19:26:39","2019-07-30 19:37:14","Sand in der Vaseline : Künstlerbücher II, 1980-2002",,"2002-00-00 2002","Verlag der Buchhandlung Walther König","Köln",,,,,,,,3-88375-641-5,,,,,"Sand in der Vaseline",,,,,,,,,,"Reference resources"
3694,T5WUKIXI,book,"2019-07-30 19:26:39","2019-07-30 19:37:14","Multiples: the first decade; [catalogue]",,"1971-00-00 1971","Philadelphia Museum of Art; distributed by Boston Book and Art, Boston",,,,,,,,,,,,,,Multiples,,,,,,,,,,"Reference resources"
3695,E8MAPXUI,book,"2019-07-30 19:26:39","2019-07-30 19:37:14","Learn to read art: artists' books",,"1990-00-00 1990","Art Gallery of Hamilton","Hamilton, Ont.",,,,,,,,"0-919153-20-8 978-0-919153-20-2",,,,English,"Learn to read art","Open WorldCat",,,,,,,,,"Reference resources"
3696,5KQXC5AT,book,"2019-07-30 19:26:39","2019-07-30 19:37:14","La reliure originale française: bookbindings by contemporary French binders, with a selection of illustrations and examples of typography.",,"1964-00-00 1964","Museum of Contemporary Crafts","New York",,,,,,,,,,,,English,"La reliure originale française","OCLC WorldCat FirstSearch",,,,,,,,,"Reference resources"
3697,PPZMJYMZ,book,"2019-07-30 19:26:39","2019-07-30 19:37:14","Inventory of the Swedish Archive of artist books",,"1996-00-00 1996","Steven Leiber","San Francisco",,,,"Steven Leiber catalogues ;; 1996.; Variation: Steven Leiber catalogues ;; 1996.",,,,,,,,English,,"OCLC WorldCat FirstSearch",,,,,,,,,"Reference resources"
3698,YXDSFKXN,book,"2019-07-30 19:26:39","2019-07-30 19:37:14","In numbers : serial publications by artists since 1955",,"2009-00-00 2009","JRP/Ringier Kunstverlag","Zurich, Switzerland",,,"1st ed.",,,,,0-9715480-7-2,,,,,"In numbers",,,,,,,,,,"Reference resources"
3699,VPYVCBG9,book,"2019-07-30 19:26:39","2019-07-30 19:37:14","In context : contemporary artists' books and their antecedents : March 14-April 27, 1986","""Through using the formal aspects of the book in unexpected ways, contemporary artists are drawing on concepts and techniques long a part of book tradition. By dividing this exhibit into parts, each one based on a formal characteristic of the book, it is possible to examine recent artists' books in the context of the rich history of book art."" – Anne-Catherine Fallen, page 1].","1986-00-00 1986","The Athenaeum","Alexandria, VA",,,,,,,,,,,,,,,,,,"Includes bibliographical references (page 16).; ID: VCU_ALMA21353361110001101",,,,,"Reference resources"
