uri,vocabularies,label_count,labels
http://id.loc.gov/authorities/subjects/sh2007101755,lcsh,1,Automobiles -- Pictorial works
http://id.loc.gov/authorities/subjects/sh2007102150,lcsh,1,Breast -- Cancer -- Patients -- United States -- Biography
http://id.loc.gov/authorities/subjects/sh2008003690,lcsh,1,Artists as art critics
http://id.loc.gov/authorities/subjects/sh2008005503,lcsh,1,Archives in art
http://id.loc.gov/authorities/subjects/sh2008005873,lcsh,1,Superheroes in art
http://id.loc.gov/authorities/subjects/sh2008006270,lcsh,1,Motherhood in art
http://id.loc.gov/authorities/subjects/sh2008006638,lcsh,1,Web browsing
http://id.loc.gov/authorities/subjects/sh2008006774,lcsh,1,Vernacular photography
http://id.loc.gov/authorities/subjects/sh2008100104,lcsh,1,Capitalism -- Social aspects
http://id.loc.gov/authorities/subjects/sh2008101159,lcsh,1,Coffee industry -- Colombia
http://id.loc.gov/authorities/subjects/sh2008101311,lcsh,1,Communication -- Philosophy
http://id.loc.gov/authorities/subjects/sh2008101518,lcsh,1,Conceptual art -- Exhibitions
http://id.loc.gov/authorities/subjects/sh2008102051,lcsh,1,Dogs -- Fiction
http://id.loc.gov/authorities/subjects/sh2008102074,lcsh,1,Death -- Poetry
http://id.loc.gov/authorities/subjects/sh2008102512,lcsh,1,Electronic surveillance -- United States
http://id.loc.gov/authorities/subjects/sh2008103984,lcsh,1,Food habits -- History
http://id.loc.gov/authorities/subjects/sh2008104221,lcsh,1,Futurism (Art) -- Italy
http://id.loc.gov/authorities/subjects/sh2008104395,lcsh,1,Indians of Mexico -- Mexico -- Chiapas -- Government relations
http://id.loc.gov/authorities/subjects/sh2008104689,lcsh,1,Insects -- Pictorial works
http://id.loc.gov/authorities/subjects/sh2008104691,lcsh,1,Installations (Art) -- Exhibitions
http://id.loc.gov/authorities/subjects/sh2008104693,lcsh,1,Installations (Art) -- Germany -- Exhibitions
http://id.loc.gov/authorities/subjects/sh2008104694,lcsh,1,Installations (Art) -- United States -- Exhibitions
http://id.loc.gov/authorities/subjects/sh2008105051,lcsh,1,Gardens -- Pictorial works
http://id.loc.gov/authorities/subjects/sh2008105071,lcsh,1,Gay men -- United States -- Biography
http://id.loc.gov/authorities/subjects/sh2008105720,lcsh,1,Holocaust survivors -- Biography
http://id.loc.gov/authorities/subjects/sh2008105781,lcsh,1,Human-animal relationships -- Fiction
http://id.loc.gov/authorities/subjects/sh2008106626,lcsh,1,Landscapes in art -- Exhibitions
http://id.loc.gov/authorities/subjects/sh2008107217,lcsh,1,Mexican Americans -- Fiction
http://id.loc.gov/authorities/subjects/sh2008107231,lcsh,1,Mothers and sons -- Fiction
http://id.loc.gov/authorities/subjects/sh2008107463,lcsh,1,Mothers -- Psychology
http://id.loc.gov/authorities/subjects/sh2008107964,lcsh,1,Motherhood -- Psychological aspects
http://id.loc.gov/authorities/subjects/sh2008107990,lcsh,1,Motion picture actors and actresses -- Portraits
http://id.loc.gov/authorities/subjects/sh2008108176,lcsh,1,Nahuatl language -- Texts
http://id.loc.gov/authorities/subjects/sh2008108356,lcsh,1,Navajo Indians -- Fiction
http://id.loc.gov/authorities/subjects/sh2008108377,,1,New York (N.Y.) -- Fiction
http://id.loc.gov/authorities/subjects/sh2008108726,lcsh,1,Orphans -- Juvenile fiction
http://id.loc.gov/authorities/subjects/sh2008108790,lcsh,1,"Photography, Artistic -- Exhibitions"
http://id.loc.gov/authorities/subjects/sh2008109245,lcsh,1,Philosophy -- Miscellanea
http://id.loc.gov/authorities/subjects/sh2008109260,lcsh,1,Photography -- History
http://id.loc.gov/authorities/subjects/sh2008109271,lcsh,1,Portrait photography -- Exhibitions
http://id.loc.gov/authorities/subjects/sh2008109273,lcsh,1,Photomontage -- Exhibitions
http://id.loc.gov/authorities/subjects/sh2008109279,lcsh,1,Photography -- Philosophy
http://id.loc.gov/authorities/subjects/sh2008109395,lcsh,1,Political leadership -- United States
http://id.loc.gov/authorities/subjects/sh2008109545,lcsh,1,Political atrocities -- Cambodia
http://id.loc.gov/authorities/subjects/sh2008110339,lcsh,1,Racism -- United States
http://id.loc.gov/authorities/subjects/sh2008111382,lcsh,1,Sick children -- Fiction
