cluster,labels,include,conceptId,category,prefLabel,exactMatch,note
none|california-emigration-and-immigration-social-aspects-juvenile-fiction,California -- Emigration and immigration -- Social aspects -- Juvenile fiction,y,california-emigration-and-immigration-social-aspects-juvenile-fiction,geographic,California -- Emigration and immigration -- Social aspects -- Juvenile fiction,,auto-seeded draft; review
none|california-in-art,California -- In art,y,california-in-art,geographic,California -- In art,,auto-seeded draft; review
http://id.worldcat.org/fast/1204540.,California -- Los Angeles,y,california-los-angeles,geographic,California -- Los Angeles,,auto-seeded draft; review
fast|california-los-angeles,California -- Los Angeles,y,california-los-angeles,geographic,California -- Los Angeles,,auto-seeded draft; review
(OCoLC)fst01204540.,California -- Los Angeles,y,california-los-angeles,geographic,California -- Los Angeles,,auto-seeded draft; review
http://id.worldcat.org/fast/1316330.,California -- Los Angeles -- Hollywood Boulevard,y,california-los-angeles-hollywood-boulevard,geographic,California -- Los Angeles -- Hollywood Boulevard,,auto-seeded draft; review
http://id.worldcat.org/fast/1317002.,California -- Los Angeles -- Sunset Boulevard,y,california-los-angeles-sunset-boulevard,geographic,California -- Los Angeles -- Sunset Boulevard,,auto-seeded draft; review
fast|california-san-francisco,California -- San Francisco,y,california-san-francisco,geographic,California -- San Francisco,,auto-seeded draft; review
http://id.worldcat.org/fast/1204481.,California -- San Francisco,y,california-san-francisco,geographic,California -- San Francisco,,auto-seeded draft; review
http://id.worldcat.org/fast/1270333.,California -- San Joaquin Valley,y,california-san-joaquin-valley,geographic,California -- San Joaquin Valley,,auto-seeded draft; review
http://id.worldcat.org/fast/1316612.,California -- Santa Clara Valley (Santa Clara County),y,california-santa-clara-valley-santa-clara-county,geographic,California -- Santa Clara Valley (Santa Clara County),,auto-seeded draft; review
(OCoLC)fst01205880,California -- Santa Cruz,y,california-santa-cruz,geographic,California -- Santa Cruz,,auto-seeded draft; review
(OCoLC)fst01219044,California -- Sebastopol,y,california-sebastopol,geographic,California -- Sebastopol,,auto-seeded draft; review
none|california-social-life-and-customs-21st-century-pictorial-works,California -- Social life and customs -- 21st century -- Pictorial works,y,california-social-life-and-customs-21st-century-pictorial-works,geographic,California -- Social life and customs -- 21st century -- Pictorial works,,auto-seeded draft; review
http://id.worldcat.org/fast/1207659.,Cambodia,y,cambodia,geographic,Cambodia,,auto-seeded draft; review
http://id.loc.gov/authorities/subjects/sh85019084.,Cambodia -- History,y,cambodia-history,geographic,Cambodia -- History,,auto-seeded draft; review
none|cambodia-pictorial-works,Cambodia -- Pictorial works,y,cambodia-pictorial-works,geographic,Cambodia -- Pictorial works,,auto-seeded draft; review
none|campeche-campeche-mexico-pictorial-works,"Campeche (Campeche, Mexico) -- Pictorial works",y,campeche-campeche-mexico-pictorial-works,geographic,"Campeche (Campeche, Mexico) -- Pictorial works",,auto-seeded draft; review
http://id.worldcat.org/fast/1204310.,Canada,y,canada-geographic,geographic,Canada,,auto-seeded draft; review
fast|canada,Canada,y,canada-geographic,geographic,Canada,,auto-seeded draft; review
none|canada,Canada,y,canada-geographic,geographic,Canada,,auto-seeded draft; review
http://id.worldcat.org/fast/1244080.,Caribbean Area,y,caribbean-area,geographic,Caribbean Area,,auto-seeded draft; review
none|carlisle-mass-pictorial-works,Carlisle (Mass.) -- Pictorial works,y,carlisle-mass-pictorial-works,geographic,Carlisle (Mass.) -- Pictorial works,,auto-seeded draft; review
http://id.worldcat.org/fast/1244425.,Caucasus,y,caucasus,geographic,Caucasus,,auto-seeded draft; review
none|caucasus-in-art-exhibitions,Caucasus -- In art -- Exhibitions,y,caucasus-in-art-exhibitions,geographic,Caucasus -- In art -- Exhibitions,,auto-seeded draft; review
http://id.worldcat.org/fast/1343044.,Caucasus Region,y,caucasus-region,geographic,Caucasus Region,,auto-seeded draft; review
http://id.loc.gov/authorities/names/no2024012546,Cayuga Nation,y,cayuga-nation,geographic,Cayuga Nation,,auto-seeded draft; review
none|cayuga-nation-history-pictorial-works,Cayuga Nation -- History -- Pictorial works,y,cayuga-nation-history-pictorial-works,geographic,Cayuga Nation -- History -- Pictorial works,,auto-seeded draft; review
http://id.worldcat.org/fast/1240497.,Central Asia,y,central-asia,geographic,Central Asia,,auto-seeded draft; review
http://id.worldcat.org/fast/1244544.,Central Europe,y,central-europe,geographic,Central Europe,,auto-seeded draft; review
none|charleroi-belgium-environmental-conditions,Charleroi (Belgium) -- Environmental conditions,y,charleroi-belgium-environmental-conditions,geographic,Charleroi (Belgium) -- Environmental conditions,,auto-seeded draft; review
none|charlottesville-va-fiction,Charlottesville (Va.) -- Fiction,y,charlottesville-va-fiction,geographic,Charlottesville (Va.) -- Fiction,,auto-seeded draft; review
none|chattanooga-tenn-pictorial-works,Chattanooga (Tenn.) -- Pictorial works,y,chattanooga-tenn-pictorial-works,geographic,Chattanooga (Tenn.) -- Pictorial works,,auto-seeded draft; review
http://id.loc.gov/authorities/subjects/sh94005637.,"Chiapas (Mexico) -- History -- Peasant Uprising, 1994-",y,chiapas-mexico-history-peasant-uprising-1994,geographic,"Chiapas (Mexico) -- History -- Peasant Uprising, 1994-",,auto-seeded draft; review
none|chicago-ill-views,Chicago (Ill.) -- Views,y,chicago-ill-views,geographic,Chicago (Ill.) -- Views,,auto-seeded draft; review
