cluster,authorityURI,schemes,tags,recs,labels
http://id.loc.gov/authorities/subjects/sh85051044.,http://id.loc.gov/authorities/subjects/sh85051044.,lcsh,650,9,Found objects (Art)
http://id.worldcat.org/fast/1052593.,http://id.worldcat.org/fast/1052593.,fast,650,9,Handmade paper
http://id.worldcat.org/fast/1057852.,http://id.worldcat.org/fast/1057852.,fast,650,9,Performance art
http://id.worldcat.org/fast/1060777.,http://id.worldcat.org/fast/1060777.,fast,650,9,Philosophy
http://id.worldcat.org/fast/1896158.,http://id.worldcat.org/fast/1896158.,fast,650,9,Zines
http://id.worldcat.org/fast/806113.,http://id.worldcat.org/fast/806113.,fast,650,9,Altered books
http://id.worldcat.org/fast/811824.,http://id.worldcat.org/fast/811824.,fast,650,9,Appropriation (Art)
http://id.worldcat.org/fast/813346.,http://id.worldcat.org/fast/813346.,fast,650,9,Architecture
http://id.worldcat.org/fast/815307.,http://id.worldcat.org/fast/815307.,fast,650,9,Art -- Philosophy
http://id.worldcat.org/fast/897844.,http://id.worldcat.org/fast/897844.,fast,650,9,"Drawing, Mexican"
http://id.worldcat.org/fast/927412.,http://id.worldcat.org/fast/927412.,fast,650,9,Flip books
lcsh|alphabet-books,,lcsh,650,9,Alphabet books | Alphabet Books
lcsh|artists-books-germany,,lcsh,650,9,Artists' books -- Germany
lcsh|drawing-mexican-21st-century,,lcsh,650,9,"Drawing, Mexican -- 21st century"
lcsh|small-presses-argentina-specimens,,lcsh,650,9,Small presses -- Argentina -- Specimens
http://id.loc.gov/authorities/subjects/sh85007494.,http://id.loc.gov/authorities/subjects/sh85007494.,lcsh,650,8,Art -- Philosophy
http://id.loc.gov/authorities/subjects/sh85033827.,http://id.loc.gov/authorities/subjects/sh85033827.,lcsh,650,8,"Creation (Literary, artistic, etc.)"
http://id.loc.gov/authorities/subjects/sh85076242.,http://id.loc.gov/authorities/subjects/sh85076242.,lcsh,650,8,Letters in art
http://id.loc.gov/authorities/subjects/sh85077159.,http://id.loc.gov/authorities/subjects/sh85077159.,lcsh,650,8,Line (Art)
http://id.loc.gov/authorities/subjects/sh85135412.,http://id.loc.gov/authorities/subjects/sh85135412.,lcsh,650,8,Time in art
http://id.loc.gov/authorities/subjects/sh93007118.,http://id.loc.gov/authorities/subjects/sh93007118.,lcsh,650,8,Appropriation (Art)
http://id.worldcat.org/fast/1007815.,http://id.worldcat.org/fast/1007815.,fast,650,8,Manners and customs
http://id.worldcat.org/fast/1076940.,http://id.worldcat.org/fast/1076940.,fast,650,8,"Prints, Mexican"
http://id.worldcat.org/fast/1086616.,http://id.worldcat.org/fast/1086616.,fast,650,8,Racism
http://id.worldcat.org/fast/1151107.,http://id.worldcat.org/fast/1151107.,fast,650,8,Time in art
http://id.worldcat.org/fast/1231371.,http://id.worldcat.org/fast/1231371.,fast,651,8,Cuba -- Matanzas
http://id.worldcat.org/fast/1353832.,http://id.worldcat.org/fast/1353832.,fast,650,8,Miscellanea
http://id.worldcat.org/fast/814289.,http://id.worldcat.org/fast/814289.,fast,650,8,Argentine poetry
http://id.worldcat.org/fast/836401.,http://id.worldcat.org/fast/836401.,fast,650,8,Books
http://id.worldcat.org/fast/840962.,http://id.worldcat.org/fast/840962.,fast,650,8,Buildings
http://id.worldcat.org/fast/882393.,http://id.worldcat.org/fast/882393.,fast,650,8,"Creation (Literary, artistic, etc.)"
http://id.worldcat.org/fast/897725.,http://id.worldcat.org/fast/897725.,fast,650,8,Drawing
http://id.worldcat.org/fast/996786.,http://id.worldcat.org/fast/996786.,fast,650,8,Letters in art
http://id.worldcat.org/fast/999034.,http://id.worldcat.org/fast/999034.,fast,650,8,Line (Art)
https://homosaurus.org/v4/homoit0001102.,https://homosaurus.org/v4/homoit0001102.,homoit,650,8,LGBTQ+ performance art
lcsh|art-modern-20th-century,,lcsh,650,8,"Art, Modern -- 20th century"
lcsh|artists-books-california-berkeley,,lcsh,650,8,Artists' books -- California -- Berkeley
lcsh|artists-books-iowa-iowa-city,,lcsh,650,8,Artists' books -- Iowa -- Iowa City
lcsh|artists-books-mexico-specimens,,lcsh,650,8,Artists' books -- Mexico -- Specimens
lcsh|artists-books-new-york-state-rosendale-specimens,,lcsh,650,8,Artists' books -- New York (State) -- Rosendale -- Specimens
(OCoLC)fst00817660.,(OCoLC)fst00817660.,fast,650,7,Artists' books
fast|united-states,,fast,651,7,United States
http://id.loc.gov/authorities/subjects/sh2008108790.,http://id.loc.gov/authorities/subjects/sh2008108790.,lcsh,650,7,"Photography, Artistic -- Exhibitions"
http://id.loc.gov/authorities/subjects/sh2023000629,http://id.loc.gov/authorities/subjects/sh2023000629,lcsh,650,7,Artists' books -- Specimens
http://id.loc.gov/authorities/subjects/sh85036106.,http://id.loc.gov/authorities/subjects/sh85036106.,lcsh,650,7,Death in art
http://id.loc.gov/authorities/subjects/sh85054129.,http://id.loc.gov/authorities/subjects/sh85054129.,lcsh,650,7,Geometrical drawing
http://id.worldcat.org/fast/1061968.,http://id.worldcat.org/fast/1061968.,fast,650,7,"Photography, Artistic -- Exhibitions"
http://id.worldcat.org/fast/1167224.,http://id.worldcat.org/fast/1167224.,fast,650,7,Violence
http://id.worldcat.org/fast/1204928.,http://id.worldcat.org/fast/1204928.,fast,651,7,California
http://id.worldcat.org/fast/1354981.,http://id.worldcat.org/fast/1354981.,fast,650,7,Social aspects
http://id.worldcat.org/fast/1728849.,http://id.worldcat.org/fast/1728849.,fast,650,7,Families
http://id.worldcat.org/fast/1763432.,http://id.worldcat.org/fast/1763432.,fast,650,7,"Chapbooks, Mexican"
http://id.worldcat.org/fast/888694.,http://id.worldcat.org/fast/888694.,fast,650,7,Death in art
http://id.worldcat.org/fast/940844.,http://id.worldcat.org/fast/940844.,fast,650,7,Geometrical drawing
lcsh|artists-books-california,,lcsh,650,7,Artists' books -- California
