canonicalKey,cluster,rawLabel,normLabel,authority
WV3JFTJ3,http://id.loc.gov/authorities/subjects/sh85074574.,Language and languages -- Philosophy,language-and-languages-philosophy,http://id.loc.gov/authorities/subjects/sh85074574
N6DJXKFQ,http://id.loc.gov/authorities/subjects/sh85074926.,Latin American literature -- 20th century,latin-american-literature-20th-century,http://id.loc.gov/authorities/subjects/sh85074926
XGPQU7KI,http://id.loc.gov/authorities/subjects/sh85075608.,Leaves,leaves,http://id.loc.gov/authorities/subjects/sh85075608
HQKRI38G,http://id.loc.gov/authorities/subjects/sh85075636.,"Lebanon -- History -- Civil War, 1975-1990",lebanon-history-civil-war-1975-1990,http://id.loc.gov/authorities/subjects/sh85075636
4Q53JPKL,http://id.loc.gov/authorities/subjects/sh85076217,Letter-pictures,letter-pictures,http://id.loc.gov/authorities/subjects/sh85076217
6D2HLT6A,http://id.loc.gov/authorities/subjects/sh85076240.,Letters,letters,http://id.loc.gov/authorities/subjects/sh85076240
B3FLIYWS,http://id.loc.gov/authorities/subjects/sh85076242.,Letters in art,letters-in-art,http://id.loc.gov/authorities/subjects/sh85076242
CJLMERMV,http://id.loc.gov/authorities/subjects/sh85076242.,Letters in art,letters-in-art,http://id.loc.gov/authorities/subjects/sh85076242
EB5CKXSA,http://id.loc.gov/authorities/subjects/sh85076242.,Letters in art,letters-in-art,http://id.loc.gov/authorities/subjects/sh85076242
IHG8DC77,http://id.loc.gov/authorities/subjects/sh85076242.,Letters in art,letters-in-art,http://id.loc.gov/authorities/subjects/sh85076242
LG79KISU,http://id.loc.gov/authorities/subjects/sh85076242.,Letters in art,letters-in-art,http://id.loc.gov/authorities/subjects/sh85076242
LNFAZY2F,http://id.loc.gov/authorities/subjects/sh85076242.,Letters in art,letters-in-art,http://id.loc.gov/authorities/subjects/sh85076242
PEQS5CUB,http://id.loc.gov/authorities/subjects/sh85076242.,Letters in art,letters-in-art,http://id.loc.gov/authorities/subjects/sh85076242
W53AH9P7,http://id.loc.gov/authorities/subjects/sh85076242.,Letters in art,letters-in-art,http://id.loc.gov/authorities/subjects/sh85076242
R36SU4QS,http://id.loc.gov/authorities/subjects/sh85076512.,Libraries -- History,libraries-history,http://id.loc.gov/authorities/subjects/sh85076512
3DAHFTMR,http://id.loc.gov/authorities/subjects/sh85076886.,Light and darkness in literature,light-and-darkness-in-literature,http://id.loc.gov/authorities/subjects/sh85076886
3DAHFTMR,http://id.loc.gov/authorities/subjects/sh85076896.,Light in art,light-in-art,http://id.loc.gov/authorities/subjects/sh85076896
WJUEUMAZ,http://id.loc.gov/authorities/subjects/sh85077159,Line (Art),line-art,http://id.loc.gov/authorities/subjects/sh85077159
28QX2N42,http://id.loc.gov/authorities/subjects/sh85077159.,Line (Art),line-art,http://id.loc.gov/authorities/subjects/sh85077159
5I6WDA32,http://id.loc.gov/authorities/subjects/sh85077159.,Line (Art),line-art,http://id.loc.gov/authorities/subjects/sh85077159
DDNJVGUE,http://id.loc.gov/authorities/subjects/sh85077159.,Line (Art),line-art,http://id.loc.gov/authorities/subjects/sh85077159
EFAMDCD6,http://id.loc.gov/authorities/subjects/sh85077159.,Line (Art),line-art,http://id.loc.gov/authorities/subjects/sh85077159
G2YKJ5V6,http://id.loc.gov/authorities/subjects/sh85077159.,Line (Art),line-art,http://id.loc.gov/authorities/subjects/sh85077159
MBQLR6E8,http://id.loc.gov/authorities/subjects/sh85077159.,Line (Art),line-art,http://id.loc.gov/authorities/subjects/sh85077159
MJY3ATXT,http://id.loc.gov/authorities/subjects/sh85077159.,Line (Art),line-art,http://id.loc.gov/authorities/subjects/sh85077159
VWUVP8J2,http://id.loc.gov/authorities/subjects/sh85077159.,Line (Art),line-art,http://id.loc.gov/authorities/subjects/sh85077159
CRKSZH7J,http://id.loc.gov/authorities/subjects/sh85077319.,Lipreading,lipreading,http://id.loc.gov/authorities/subjects/sh85077319
9MIGMLSA,http://id.loc.gov/authorities/subjects/sh85077531,Literature -- Women authors,literature-women-authors,http://id.loc.gov/authorities/subjects/sh85077531
344DUV4F,http://id.loc.gov/authorities/subjects/sh85077546.,"Literature, Experimental",literature-experimental,http://id.loc.gov/authorities/subjects/sh85077546
7N9JFIBY,http://id.loc.gov/authorities/subjects/sh85077575.,Literature and technology,literature-and-technology,http://id.loc.gov/authorities/subjects/sh85077575
QEM42WV8,http://id.loc.gov/authorities/subjects/sh85077600,Lithography -- 20th century,lithography-20th-century,http://id.loc.gov/authorities/subjects/sh85077600
C4A66D77,http://id.loc.gov/authorities/subjects/sh85078243.,Loneliness,loneliness,http://id.loc.gov/authorities/subjects/sh85078243
B3KJK38A,http://id.loc.gov/authorities/subjects/sh85078431.,Loss (Psychology),loss-psychology,http://id.loc.gov/authorities/subjects/sh85078431
PLRU6FDT,http://id.loc.gov/authorities/subjects/sh85078519.,Love,love,http://id.loc.gov/authorities/subjects/sh85078519
QCAVS6IH,http://id.loc.gov/authorities/subjects/sh85078533,Love in art,love-in-art,http://id.loc.gov/authorities/subjects/sh85078533
RRG8EEGI,http://id.loc.gov/authorities/subjects/sh85078533,Love in art,love-in-art,http://id.loc.gov/authorities/subjects/sh85078533
DCR5P4LE,http://id.loc.gov/authorities/subjects/sh85078533.,Love in art,love-in-art,http://id.loc.gov/authorities/subjects/sh85078533
FSEW2GM5,http://id.loc.gov/authorities/subjects/sh85078533.,Love in art,love-in-art,http://id.loc.gov/authorities/subjects/sh85078533
HZYPBN6W,http://id.loc.gov/authorities/subjects/sh85078533.,Love in art,love-in-art,http://id.loc.gov/authorities/subjects/sh85078533
KVE8M4XD,http://id.loc.gov/authorities/subjects/sh85078533.,Love in art,love-in-art,http://id.loc.gov/authorities/subjects/sh85078533
SFSKTEUG,http://id.loc.gov/authorities/subjects/sh85078533.,Love in art,love-in-art,http://id.loc.gov/authorities/subjects/sh85078533
YM7KRFGQ,http://id.loc.gov/authorities/subjects/sh85078533.,Love in art,love-in-art,http://id.loc.gov/authorities/subjects/sh85078533
4929RG22,http://id.loc.gov/authorities/subjects/sh85079396.,Machinery in art,machinery-in-art,http://id.loc.gov/authorities/subjects/sh85079396
4ZJG7DPJ,http://id.loc.gov/authorities/subjects/sh85079877.,Mail art,mail-art,http://id.loc.gov/authorities/subjects/sh85079877
ETIITUFL,http://id.loc.gov/authorities/subjects/sh85079877.,Mail art,mail-art,http://id.loc.gov/authorities/subjects/sh85079877
SSH5HNH7,http://id.loc.gov/authorities/subjects/sh85079877.,Mail art,mail-art,http://id.loc.gov/authorities/subjects/sh85079877
T5K32G4A,http://id.loc.gov/authorities/subjects/sh85079877.,Mail art,mail-art,http://id.loc.gov/authorities/subjects/sh85079877
WDITEMDJ,http://id.loc.gov/authorities/subjects/sh85079877.,Mail art,mail-art,http://id.loc.gov/authorities/subjects/sh85079877
DJXTYJV5,http://id.loc.gov/authorities/subjects/sh85080130.,Male nude in art,male-nude-in-art,http://id.loc.gov/authorities/subjects/sh85080130
7WIH889K,http://id.loc.gov/authorities/subjects/sh85080298.,Human beings -- Effect of environment on,human-beings-effect-of-environment-on,http://id.loc.gov/authorities/subjects/sh85080298
K9ZWJMAC,http://id.loc.gov/authorities/subjects/sh85080298.,Human beings -- Effect of environment on,human-beings-effect-of-environment-on,http://id.loc.gov/authorities/subjects/sh85080298
NDHM9PHH,http://id.loc.gov/authorities/subjects/sh85080298.,Human beings -- Effect of environment on,human-beings-effect-of-environment-on,http://id.loc.gov/authorities/subjects/sh85080298
7WIH889K,http://id.loc.gov/authorities/subjects/sh85080299.,Nature -- Effect of human beings on,nature-effect-of-human-beings-on,http://id.loc.gov/authorities/subjects/sh85080299
