cluster,authorityURI,schemes,tags,recs,labels
http://id.worldcat.org/fast/1919955.,http://id.worldcat.org/fast/1919955.,fast,655,8,Pop-up books.
http://vocab.getty.edu/aat/300178926.,http://vocab.getty.edu/aat/300178926.,aat,655,8,Letterpress printing.
http://vocab.getty.edu/aat/300201034.,http://vocab.getty.edu/aat/300201034.,aat,655,8,Pop-up books.
https://homosaurus.org/v4/homoit0001102.,https://homosaurus.org/v4/homoit0001102.,homoit,650,8,LGBTQ+ performance art.
lcgft|photobooks,,lcgft,655,8,Photobooks. | Photobooks
rbmscv|accordion-fold-format,,rbmscv,655,8,Accordion fold format
(OCoLC)fst01411628,(OCoLC)fst01411628,fast,655,7,History. | History
(OCoLC)fst01411641,(OCoLC)fst01411641,fast,655,7,Periodicals. | Periodicals
(OCoLC)fst01423787,(OCoLC)fst01423787,fast,655,7,Fiction | Fiction.
(OCoLC)fst01423861.,(OCoLC)fst01423861.,fast,655,7,Specimens.
aat|multiples,,aat,655,7,multiples. | Multiples. | Multiples
http://id.worldcat.org/fast/1921748.,http://id.worldcat.org/fast/1921748.,fast,655,7,Trivia and miscellanea.
http://id.worldcat.org/fast/2008859.,http://id.worldcat.org/fast/2008859.,fast,655,7,Art and the war.
lcgft|conceptual-art,,lcgft,655,7,Conceptual art.
aat|boxes-containers,,aat,655,6,Boxes (containers) | Boxes (containers).
aat|perfect-binding-process,,aat,655,6,Perfect binding (process). | Perfect binding (process.
fast|pictorial-works,,fast,655,6,Pictorial works | Pictorial works.
http://id.loc.gov/authorities/genreForms/gf2014026110.,http://id.loc.gov/authorities/genreForms/gf2014026110.,lcgft,655,6,Humor.
http://id.loc.gov/authorities/genreForms/gf2017027251.,http://id.loc.gov/authorities/genreForms/gf2017027251.,lcgft,655,6,Pictures.
http://id.worldcat.org/fast/1423691.,http://id.worldcat.org/fast/1423691.,fast,655,6,Caricatures and cartoons.
http://id.worldcat.org/fast/1423705.,http://id.worldcat.org/fast/1423705.,fast,655,6,Texts.
http://id.worldcat.org/fast/1423784.,http://id.worldcat.org/fast/1423784.,fast,655,6,Folklore.
http://vocab.getty.edu/aat/300263000.,http://vocab.getty.edu/aat/300263000.,aat,655,6,Spiral bindings.
rbmscv|publishers-advertisements,,rbmscv,655,6,Publishers' advertisements
rbmscv|slipcases,,rbmscv,655,6,Slipcases
rbmscv|typefaces-type-evidence,,rbmscv,655,6,Typefaces (Type evidence)
rbms|miniature-books,,rbms,655,6,Miniature books.
aat|authors-presentation-copies,,aat,655,5,Authors' presentation copies. | authors' presentation copies.
aat|book-objects,,aat,655,5,Book objects | Book objects.
aat|digital-prints,,aat,655,5,Digital prints.
aat|limited-editions,,aat,655,5,limited editions. | Limited editions.
aat|linocuts,,aat,655,5,Linocuts | Linocuts.
aat|pop-up-books,,aat,655,5,Pop-up books | Pop-up books.
aat|slipcases,,aat,655,5,Slipcases.
fast|history,,fast,655,5,History
fast|poetry,,fast,655,5,Poetry | Poetry.
http://id.loc.gov/authorities/genreForms/gf2014026098.,http://id.loc.gov/authorities/genreForms/gf2014026098.,lcgft,655,5,Exhibition catalogs.
http://id.loc.gov/authorities/genreForms/gf2014026151.,http://id.loc.gov/authorities/genreForms/gf2014026151.,lcgft,655,5,Postcards.
http://id.loc.gov/authorities/genreForms/gf2015026020.,http://id.loc.gov/authorities/genreForms/gf2015026020.,lcgft,655,5,Novels.
http://id.loc.gov/vocabulary/rbmscv/cv00737.,http://id.loc.gov/vocabulary/rbmscv/cv00737.,rbmscv,655,5,Slipcases.
http://id.worldcat.org/fast/1423696.,http://id.worldcat.org/fast/1423696.,fast,655,5,Humor.
http://id.worldcat.org/fast/1423791.,http://id.worldcat.org/fast/1423791.,fast,655,5,Translations.
http://id.worldcat.org/fast/1423876.,http://id.worldcat.org/fast/1423876.,fast,655,5,Anecdotes.
http://id.worldcat.org/fast/1726707.,http://id.worldcat.org/fast/1726707.,fast,655,5,Postcards.
http://id.worldcat.org/fast/1919895.,http://id.worldcat.org/fast/1919895.,fast,655,5,Bibliographies.
http://vocab.getty.edu/aat/300033618,http://vocab.getty.edu/aat/300033618,aat,655,5,Paintings (visual works)
http://vocab.getty.edu/aat/300033973,http://vocab.getty.edu/aat/300033973,aat,655,5,Drawings (visual works)
http://vocab.getty.edu/aat/300041273.,http://vocab.getty.edu/aat/300041273.,aat,655,5,Prints (visual works)
https://id.loc.gov/authorities/genreForms/gf2014026049,https://id.loc.gov/authorities/genreForms/gf2014026049,lcgft,655,5,Biographies.
https://id.loc.gov/authorities/genreForms/gf2014026110,https://id.loc.gov/authorities/genreForms/gf2014026110,lcgft,655,5,Humor.
https://id.loc.gov/authorities/genreForms/gf2014026339,https://id.loc.gov/authorities/genreForms/gf2014026339,lcgft,655,5,Fiction.
lcgft|pop-up-books,,lcgft,655,5,Pop-up books.
