canonicalKey,canonicalLib,held,sourceKeys,title,date,publisher,place,ISBN,ISSN,language,numPages,edition,series,seriesNumber,callNumber,url,extra,shortTitle,creators
Y4QQDI8Q,3,,3:Y4QQDI8Q; 2:PBN6NTX6,Fauna : IV,2012-00-00 2012,Michael K. Lease,S.I.,,,,,,,,,,ID: VCU_ALMA21458684370001101,,Michael K. Lease
V6QGFNFU,3,,3:V6QGFNFU,Fear Book I,1991-00-00 1991,,,,,,,,,,,[No Worldcat Record Found- 11/9/21],,,Yvonne Pickering Carter
BHEUTQLS,3,,3:BHEUTQLS; 2:QRI362S8,Fearless beadwork : improvisational peyote stitch : handwriting & drawings from hell,1994-00-00 1994,Visual Studies Workshop,"Rochester, NY",0898221002,,,,,,,,http://www.worldcat.org/oclc/741762924,,Fearless beadwork,Joyce Scott
6D565KJB,3,true,3:6D565KJB; 2:AWZD6G39; 1:5M4884ZK,Fears grow wings,2002-00-00 2002,In Cahoots Press,Philadelphia,,,,,,,,,,,,Macy Chadwick
RAABNHTU,3,,3:RAABNHTU,Feathers and Findings,2003-00-00 2003,,"Hot Springs, Arkansas",,,,,,,,,[No WorldCat records found 11/18/21],,,Nancy Dunaway
9AZXYXPB,3,,3:9AZXYXPB; 2:F9MXW8DV,Feature film: a book,2000-00-00 2000,Book Works : Artangel Afterlives ; Galerie du Jour in association with Kölnischer Kunstverein ; Distributed in the U.S.A. by D.A.P,London; Paris; New York,978-1-870699-23-5 978-1-902201-05-4,,English,,,,,,http://www.worldcat.org/oclc/1042844997,,Feature film,"Douglas Gordon; James Conlon; Raymond Bellour; Royal, S Brown; Bernard Herrmann"
82UPX3LL,3,,3:82UPX3LL; 2:A5TKU984,Feel the fear,1992-00-00 1992,,,,,,,,,,,,ID: VCU_ALMA21380590290001101,,Mary Filippo
WWFTJT7D,3,,3:WWFTJT7D,Felix' Notebooks,2008-00-00 2008,,,,,,,,,,,{No Worldcat Record Found- 11/3/21],,,Jody Alexander
N9DX63MC,3,,3:N9DX63MC; 2:X7AV8REX,Female sampler,2001-00-00 2001,Women's Studio Workshop,"Rosendale, NY",,,,,,,,,,ID: VCU_ALMA21355009840001101,,Akiko Sakaizumi
V263QCCZ,3,,3:V263QCCZ; 2:EHQDAA8W,Femmes fatales,2001-00-00 2001,M. Cummins,"Brooklyn, NY",,,,,,,,,,"The book is in the form of a photography album with the name of a particular torture used as the title for the accompanying photograph of a woman in various poses inserted in a page pocket.; ""Femmes fatales was produced by Maureen Cummins in the summer of 2001, with typographic assistance from Kathy McMillan ... The list of names of torture and execution devices was compiled over a period of several years, as were the vintage photographs used to illustrate the book.""–Colophon.; ""Femmes fatales was printed in an edition of fifty numbered copies, with copy number 1 containing the original photographs.""",,Maureen Cummins; Kathy McMillan
XQU8KI8Y,3,,3:XQU8KI8Y; 2:7V6S9U7I,Fenetre livre,1978-00-00 1978,,,,,,,,,,,"[No WorldCat record found, 9/15/21]",,,Irene Buarque
MX3G7WCD,3,,3:MX3G7WCD; 2:8TH6CVSS,Fenetres = Windows = Vinduer,1974-00-00 1974,Forlaget Sommersko,Kobenhavn,,,,[88],,,,,,,,Didier Bay
8TK3B6UX,3,true,3:8TK3B6UX; 2:RWJ67WMB; 1:XVHLYVHD,Fer : una fábula encendida y atolandrada.,2003-00-00 2003,Eloísa Cartonera,Buenos Aires,,,,,1a ed.,,,,,,Fer,Washington Cucurto
ADNLTPIJ,3,true,3:ADNLTPIJ; 2:HPJNIJJA; 1:UWECJBE9,Feria congelada,2010-00-00 2010,s.n.,Bogotá,,,,,,,,,,,,Catalina Jaramillo Quijano
NKRMZVCR,3,,3:NKRMZVCR; 2:HG767KW2,Ferien,1994-00-00 1994,Wiener Secession und Drei Möwen Verlag,Düsseldorf,,,German,,,,,,http://www.worldcat.org/oclc/83360921,Additional WorldCat records available,,Hans-Peter Feldmann
KQZ2DUSJ,3,,3:KQZ2DUSJ; 2:ZKVVVQX3,Fernando Bryce,2001-00-00 2001,Smart Art Press,"Santa Monica, CA",,,,1 v. (un,,,,,,Cover title; Text in English and Spanish,,Fernando Bryce
ZYS8GMX2,1,true,1:ZYS8GMX2,Festschrift for Bill : in celebration of book arts.,2020-00-00 [2020],"Book Arts Program, Special Collections, J. Willard Marriott Library, the University of Utah","[Salt Lake City, UT]",,,,,,,,N7433.4.A1 F47 2020,https://catalog.lib.unc.edu/catalog/UNCb10516889,,Festschrift for Bill,
ISB5D3P4,3,,3:ISB5D3P4; 2:A9GVJETK,Feststellungen : dreiunddreissig postkarten,1982-00-00 1982,Jurgen Schweinebraden,Berlin,,,,,,,,,,,,Dietmar Kirves
6X9Q4484,3,,3:6X9Q4484; 2:PHAZUTAN,Feuille d'automne,1981-00-00 1981,,,,,,,,,,,"[No WorldCat record found, 9/15/21]",,,Jack Vanarsky
XVUCTP8L,3,,3:XVUCTP8L; 2:K4CGSD7T,Fever of matter. 1 1,2008-00-00 2008,,,,,English,,,,,,http://www.worldcat.org/oclc/893913752,OCLC: 893913752,,Elsi Vassdal Ellis
N5JBMIHY,3,,3:N5JBMIHY; 2:KUREARHH,"Fibonacci 1202 [i.e. milleduecentodue],",1972-00-00 1972,Sperone,Torino,,,Italian,,,,,,http://www.worldcat.org/oclc/4305738,Additional WorldCat records available,,Mario Merz
55MX75F4,3,,3:55MX75F4; 2:ZP9AK8JX,Fiction texts 1966-1978,1979-00-00 1979,Third Eye Centre,Glasgow,0-906474-03-5 978-0-906474-03-7,,English,,,,,,http://www.worldcat.org/oclc/19634301,,,Ian Breakwell
RXSC8U4F,3,,3:RXSC8U4F; 2:T7UJSTBR,"Fiction? Non-Fiction?: catalogue raisonné des livres de Jean-Michel Alberola, Jean Charles Blanc, Christophe Boutin, Claude Closky, Jean Le Gac, Roberto Martinez, Annette Messager, Jean-Michel Othoniel",1995-00-00 1995,Ed. Florence Loewy,Paris,978-2-911136-00-9,,English,,,,,,http://www.worldcat.org/oclc/602723599,Additional WorldCat records available,Fiction?,Jean-Michel Alberola; Jean Charles Blanc; Christophe Boutin; Claude Closky; Jean Le Gac; Roberto Martinez; Annette Messager; Jean-Michel Othoniel; Florence Loewy; N.Y.) Printed Matter Bookstore (New York
NDHM9PHH,3,true,3:NDHM9PHH; 2:ZGQR6BNR; 1:SGM76QTY,Field guide to North America and to other regions,2004-00-00 2004,Éditions Flux,Le Havre,2-914281-07-2,,,,,,,,http://www.worldcat.org/oclc/60590862,,,William Wegman
7WIH889K,3,,3:7WIH889K,Field guide to North America and to other regions.,1993-00-00 1993,Lapis Press,"Venice, Calif.",,,English,,,,,,http://www.worldcat.org/oclc/29581281,OCLC: 29581281,,William Wegman
G44HFQV9,3,,3:G44HFQV9; 2:Q2Z93BXH,Field identification,1985-00-00 1985,Art Metropole,Toronto,0-920956-17-3,,,,,,,,,Cover title.,,Robert John Fones
A4UP63HQ,3,,3:A4UP63HQ; 2:SET9MP82,Field Points 3,1985-00-00 1985,,,,,,26 leaves,,,,,"[No WorldCat record found, 9/15/21]",,,Timothy C. Ely
2IXNZPFU,3,,3:2IXNZPFU; 2:CWDUDQNC,Field work in Manhattan,1992-00-00 1992,Tadashi Kawamata,"New York, NY",,,,1 v. (3,,,,,,,,Tadashi Kawamata
2XJTKRCU,3,true,3:2XJTKRCU; 3:NTWUUA5V; 2:77K5H89Z; 2:UUP46ZXK; 1:9F8VCLRI,"Fierce power, bad fate",1986-00-00 1986,Nexus Press,"Atlanta, Ga.",978-0-932526-13-7,,,,,,,,,,,Carol Munder; Nexus Press.
JETBVKXZ,3,,3:JETBVKXZ; 2:9B67FGA3,Fiestaware: a booklet,1970-00-00 1970,Visual Studies Workshop,"Rochester, NY",,,English,,,,,,http://www.worldcat.org/oclc/3358324,Additional WorldCat records available,Fiestaware,Willyum Rowe
UYAJHYS3,3,,3:UYAJHYS3; 2:K9K8JHDS,Fifteen English homes,1995-00-00 1995,J. Dilnot,England,,,English,,,,,,,,,John Dilnot
T8P6DHEQ,3,,3:T8P6DHEQ; 2:TV4KRIGX,Fifteen Pornography Companies,2006-00-00 2006,California Institute of the Arts,"Los Angeles, CA",,,English,,,,,,http://www.worldcat.org/oclc/170885864,,,Louisa Van Leer
J3JZBXIG,3,,3:J3JZBXIG; 2:BVIR2HQJ,Fifty fifty copies fifty copies copies,0000-00-00 78,Visual Studies Workshop,"Rochester, NY",,,English,,,,,,http://www.worldcat.org/oclc/318545687,,,Steve Moore; Chuck Kelly; Brian Smith; Frank Dufy; John Helmore; Helen M Brunner
TI27USIG,3,,3:TI27USIG; 2:GICBNPM5,Fifty-one US military outposts,2010-00-00 2010,,,,,,106,,,,,http://www.worldcat.org/oclc/913430242,,,Mishka Henner
6PUYS3RJ,3,,3:6PUYS3RJ; 2:I6ZP4Q24,Fiftytwo shopping trolleys in parking lots,2004-00-00 2004,T. Sowden,"[Bristol, England]",,,English,,,,,,http://www.worldcat.org/oclc/744792572,,,Tom Sowden; Edward Ruscha
SAGL48SV,3,,3:SAGL48SV; 2:ES4HC3RH,Figure study,2015-00-00 2015,Big Jump Press,"Brighton, UK",,,,20 unnumbered,,,,,,,,Sarah (Sarah Herrick) Bryant
AKTA56LU,3,,3:AKTA56LU; 2:5BZEC7T7,Figure-eight,1981-00-00 1981,Tanam Press,New York,,,,,,,,,,ID: VCU_ALMA21385237130001101,,Reese Williams
LWID8Z82,3,,3:LWID8Z82; 2:4VJ8I8KZ,Figure: paysage marine,1988-00-00 1988,Édition du Remorqueur,Bruxelles,,,French,,,,,,http://www.worldcat.org/oclc/80466532,OCLC: 80466532,Figure,Bernard Villers
RGB95LIY,3,,3:RGB95LIY; 2:W9WJK7PQ,Figured silks. Part one : Silk and secrecy,1985-00-00 1985,[publisher not identified],"Ithaca, N.Y.",,,English,,,,,,http://www.worldcat.org/oclc/1008440305,,,Emoretta Yang; Kumi Korf
KYJYGYRJ,3,,3:KYJYGYRJ; 2:QWCE8VPZ,Figures,1969-00-00 1969,Galerie Mikro; Edizioni O,[Berlin; Milan,,,English,,,,,,"[No WorldCat record found, 9/15/21]",,,Allen Jones
GA42WZBX,3,,3:GA42WZBX; 2:V4K4T9U4,Figures of thoughts = Formes de penseés.,"2002-00-00 Multiple sources: 1990z, 2002, 2004",Beatrice Coron,New York ; Paris,,,French,,,,,,http://www.worldcat.org/oclc/56622122,Additional WorldCat records available,Figures of thoughts,Beatrice Coron; Gael̈le Pelachaud
WU9LKNLW,1,true,1:WU9LKNLW,Filipino folk foundry,2017-00-00 2017,"[Parañaque City?] : Hardworking Goodlooking, 2017",,,,,,Third edition,,,N7433.4.O34 F55 2015,https://catalog.lib.unc.edu/catalog/UNCb9724914,,,The Office of Culture and Design ; graphic design: Dante Carlos & Kristian Henson ; editor in chief: Lobregat Balaguer
IQ3HTJIY,3,,3:IQ3HTJIY; 2:556EMHK2,Films,,GenÃ¨ve 26 avenue de Miremont : Ã‰ditions Centre d'art contemporain ; GenÃ¨ve 6 rue Plantamour : Ã‰cart publications 1977.,,8.00F,,,27,,,,,,,,Dan Graham
V6YTIXCA,3,,3:V6YTIXCA; 2:F2GATUXS,Fin,1977-00-00 1977,Edició Galería Ciento,S.l.,,,,,,,,,,,,Eugènia Balcells
DWSBW2Z4,3,,3:DWSBW2Z4,Finding Florence,2001-00-00 2001,,"New Britain, Connecticut",,,,,,,,,[No WorldCat records found 11/19/21],,,Jenni Freidman
7AQSL8XR,3,,3:7AQSL8XR; 2:MCDBRKTT,Finding pictures in search of sounds,2008-00-00 2008,Museum 52,London,,,,,,,,,,ID: VCU_ALMA21440949900001101,,Stephen Vitiello
KR9WWKRP,3,,3:KR9WWKRP; 2:JZEM94MH,Fine-Line Developer,1975-00-00 1975,Visual Studies Workshop,"Rochester, NY",,,,18,,,,,"[No WorldCat record found, 9/15/21]",,,Tim R. Hearsum
DUZ8YXV3,3,true,3:DUZ8YXV3; 2:3SVJC5KC; 1:PD9US4S4,Finite sets,2013-00-00 2013,Preacher's Biscuit Books,"Rochester, NY",0-9767490-7-6,,,,,,,,,,,Julie Buck
YKLG9Y8I,3,,3:YKLG9Y8I; 2:JMZD4ZPN,Fiore,2009-00-00 2009,Memory Press,"Plainsboro, NJ",,,,,,,,,,ID: VCU_ALMA21403473830001101,,Maria G. Pisano
IVBYCH69,3,,3:IVBYCH69; 2:UR52VP4J,Fip y el bosque,2014-00-00 2014,Felipe M.,Chile,,,,,,,,,,,,Felipe M.
SSGMAE37,3,,3:SSGMAE37; 2:3DDQDVP5,Fire & iron,2002-00-00 2002,Piltsburgh Filmmakers,"New York, NY",,,,[20],,,,,,,,Bill Burke; Sue Wrbican
3QPT4YT8,3,,3:3QPT4YT8; 2:874E5ISZ,Fire dogs,1991-00-00 1991,K. Campbell,London,,,,,,,,,http://www.worldcat.org/oclc/257251708,ID: VCU_ALMA21390573510001101,,Ken Campbell
VK9ES4GB,3,,3:VK9ES4GB; 2:QHPUQDMU,Firedogs: abstract,1991-00-00 1991,,,,,,,,,,,http://www.worldcat.org/oclc/1056170972,,,Ken Campbell
L43ZCWQC,3,,3:L43ZCWQC; 2:I474VM2B,First aid for the wounded,0000-00-00 c1986,Conrad Gleber,"New York, NY",,,,1 v. (un,,,,,,,,Ann Fessler
ZDXJNGBW,3,,3:ZDXJNGBW; 2:AZ6V445E,"First Brush Stroke, Books 1, 2, and 3",2001-00-00 2001,,,,,,,,,,,"[No WorldCat record found, 9/15/21]",,,Jan Owen; John Tagliabue
9EPU3FS2,3,,3:9EPU3FS2,First Crusade of the Holy Rockets,1986-00-00 1986,,,,,,,,,,,[No Worldcat Record Found- 11/17/21],,,Margaret Kelley
6QQIZA6F,1,true,1:6QQIZA6F,"First impressions : when was the first time you experienced being ""the other?""",2017-00-00 2017,"[Chicago?] : [Ben Blount], 2017.",,,,,,Second edition.,,,E185.96 .B5675 2017,https://catalog.lib.unc.edu/catalog/UNCb9826228,,First impressions,
2I5PRIGX,3,,3:2I5PRIGX; 1:R6GP39UG,First night. Day skies.,1989-00-00 1989,Blue Heron Press,"Lincoln, Neb.",,,English,,,,,,http://www.worldcat.org/oclc/22908965,OCLC: 22908965,,Karen S Kunc; Taufa; Blue Heron Press; Press Collection (Library of Congress)
TY22V8GS,3,,3:TY22V8GS; 2:8ZJZ779G,First Sight,0000-00-00 c1996,SusanHensel,"East Lansing, MI",,,,1 v. (un,,,,,,,,Susan Hensel
2TZ99B5D,3,,3:2TZ99B5D; 2:MBCVW7TQ,First visit,2001-00-00 2001,"Coreopsis Press, Women's Studio Workshop","Iowa City, IO",1-893125-20-3 978-1-893125-20-9,,English,,,,,,http://www.worldcat.org/oclc/56387768,,,Sara Langworthy; Press Collection (Library of Congress)
QLXCHJYF,3,,3:QLXCHJYF; 2:3CD5QZS3,"Firstbook, birthbook",1975-00-00 1975,Christine Godden : Printed at the Visual Studies Workshop,"Rochester, NY",,,English,,,,,,http://www.worldcat.org/oclc/303579410,,,Christine Godden
FCJQXQ4K,3,,3:FCJQXQ4K; 2:FXUP23CS,Fish,1972-00-00 1972,Visual Studies Workshop,"Rochester, NY",,,,38,,,,,"[No WorldCat record found, 9/15/21]",,,Bobbe Besold
M9Q65HGA,3,,3:M9Q65HGA; 2:XNWEMBMC,Fishing perches,1999-00-00 1999,Pont la Vue Press,"New York, NY",,,English,,,,,,http://www.worldcat.org/oclc/84523665,,,Hans Waanders
NW5E5I2E,3,,3:NW5E5I2E; 2:8K4HI98E,Fishtales.,1993-00-00 1993,Tatlin Books ; Triangular Press,"Bangor, Me.; Madison, Wis.",,,English,,,,,,http://www.worldcat.org/oclc/314007007,OCLC: 30018883,,Walter Tisdale; Barbara Tetenbaum; Triangular Press; Tatlin Books
EPJIZL8T,3,,3:EPJIZL8T,Fissure: Iceland 2015,2015-00-00 2015,,,978-0-9845001-5-4,,English,,,,,,http://www.worldcat.org/oclc/978625709,OCLC: 978625709,Fissure,Ian Van Coller; Doring Press
KMR745Z7,3,,3:KMR745Z7; 2:PGRZHM9T,Five bells,1982-00-00 1982,Edition Hundertmark,Köln,,,English,,,,,,http://www.worldcat.org/oclc/52302734,Additional WorldCat records available,,Joe Jones
DRGRN69X,3,,3:DRGRN69X; 2:MNT6JHNJ,Five bookpages.,1995-00-00 1995,Frith Street Gallery.,London,,,English,,,,,,http://www.worldcat.org/oclc/41123600,,,Matthew Higgs; Frith Street Gallery
ETLZNVHH,3,,3:ETLZNVHH; 2:MA2MZD47,Five by seven for Yvon Lambert: nine works,1978-00-00 1978,[publisher not identified],[Place of publication not identified],,,English,,,,,,http://www.worldcat.org/oclc/502028476,Additional WorldCat records available,Five by seven for Yvon Lambert,Richard Tuttle
8YI92NDP,3,,3:8YI92NDP; 2:RJFHSZ67,Five cubes placed on twenty-five squares with either corners or sides touching,1978-00-00 1978,Bonomo Gallery,Bari,,,English,,,,,,http://www.worldcat.org/oclc/231755969,Additional WorldCat records available,,Sol LeWitt; Akira Hagihara; Jō Watanabe
YRZ3UNUV,3,,3:YRZ3UNUV; 2:GI2NRZ5T,Five days in the West Country: wandering : Spring : a hill without a name veiled in moring mist,1977-00-00 1977,Nicholas Stanley-Adams,London,,,English,,,,,,http://www.worldcat.org/oclc/501425996,,Five days in the West Country,Nicholas Stanley-Adams
78T7R45E,3,,3:78T7R45E; 2:RE8PSPGP,Five found photos,1979-00-00 1979,Printed Editions,New York,,,,,,,,,,ID: VCU_ALMA21394260000001101,,Geoffrey Hendricks
63H56EGP,3,,3:63H56EGP; 2:AVCRNP5J,Five luminous towers,2001-00-00 2001,Popular Kinetics Press,[Philadelphia],,,English,,,,,,http://www.worldcat.org/oclc/50044834,,,Carol June Barton
ZV5JPE6A,3,,3:ZV5JPE6A; 2:343PIN82,Five men in Paris,1977-00-00 1977,s.n.,S.l.,,,,,,,,,,Cover title.; Consists chiefly of photographs.; Edition of 250 copies.,,H. P. Adamski
JWZF7UGR,3,,3:JWZF7UGR; 2:ETM4JT5N,Five parts of one work.,1977-00-00 1977,,,,,English,,,,,,http://www.worldcat.org/oclc/640264995,Additional WorldCat records available,,Jiří Valoch
