refKey,refTitle,bookKey,bookTitle,verbatim,decision,notes
BEGEG5AI,Artists books,I2LUTMLH,Matterhorn,"Wasserman, Krystyna. The Book as Art : Artists’ Books from the National Museum of Women in the Arts. New York: Princeton Architectural Press, 2007. p.146-147.",no,
BEGEG5AI,Artists books,IBDLZ3YI,Wheeling,"Wasserman, Krystyna. The Book as Art : Artists’ Books from the National Museum of Women in the Arts. New York: Princeton Architectural Press, 2007. p.103.",no,
BEGEG5AI,Artists books,IEXUBARJ,Los dos lados (Both sides),"Wasserman, Krystyna. The Book as Art : Artists’ Books from the National Museum of Women in the Arts. New York: Princeton Architectural Press, 2007. p.107.",no,
BEGEG5AI,Artists books,ISAUE7M6,"History of the/my word : fragments of a testimonial to history, some lived and realized moments open to claims of memory.","Wasserman, Krystyna. The Book as Art : Artists’ Books from the National Museum of Women in the Arts. New York: Princeton Architectural Press, 2007. p.73.",no,
BEGEG5AI,Artists books,J2ISTTRH,Women and Cars,"Wasserman, Krystyna. The Book as Art : Artists’ Books from the National Museum of Women in the Arts. New York: Princeton Architectural Press, 2007. pp.74-75.",no,
BEGEG5AI,Artists books,J3RXS2WM,"Carl Andre, Robert Barry, Douglas Huebler, Joseph Kosuth, Sol Lewitt, Robert Morris, Lawrence Weiner.","Vanderlip, Dianne Perry, John Perreault, and Lynn Lester Hershman. Artists Books. Philadelphia: [Moore College of Art], 1973. p.35.",yes,
BEGEG5AI,Artists books,235ZSQXX,True to Life,"Wasserman, Krystyna. The Book as Art : Artists’ Books from the National Museum of Women in the Arts. New York: Princeton Architectural Press, 2007. p.29.",no,
BEGEG5AI,Artists books,KX46RJBD,11 excerpts (1967-1970) = 11 [i.e. onze] extraits (1967-1970),"Vanderlip, Dianne Perry, John Perreault, and Lynn Lester Hershman. Artists Books. Philadelphia: [Moore College of Art?], 1973. p.38.",yes,
BEGEG5AI,Artists books,KYEYSZ9G,Back Ground,"Wasserman, Krystyna. The Book as Art : Artists’ Books from the National Museum of Women in the Arts. New York: Princeton Architectural Press, 2007. pp.82-83.",no,
BEGEG5AI,Artists books,ISTV64ZP,Treading the maze : an artist's book of daze,"Wasserman, Krystyna. The Book as Art : Artists’ Books from the National Museum of Women in the Arts. New York: Princeton Architectural Press, 2007. p.78.",no,
BEGEG5AI,Artists books,LAZ7IRLG,Incantations by Mayan women,"Wasserman, Krystyna. The Book as Art : Artists’ Books from the National Museum of Women in the Arts. New York: Princeton Architectural Press, 2007. pp.162-163.",no,
BEGEG5AI,Artists books,LJWFX9YG,La ballade des pendus (Ballad of the hangmen),"Wasserman, Krystyna. The Book as Art : Artists’ Books from the National Museum of Women in the Arts. New York: Princeton Architectural Press, 2007. p.169.",no,
BEGEG5AI,Artists books,LZR6K5X5,Confracti mundi rudera.,"Wasserman, Krystyna. The Book as Art : Artists’ Books from the National Museum of Women in the Arts. New York: Princeton Architectural Press, 2007. p.102.",no,
BEGEG5AI,Artists books,M5K7DZ5T,Libro-seme (Seed-book),"Wasserman, Krystyna. The Book as Art : Artists’ Books from the National Museum of Women in the Arts. New York: Princeton Architectural Press, 2007. p.58.",no,
