lib1Key,lib1Title,twinTitle,decision,notes
8L8MVWM2,Primary faces,Primary faces,,
E8JN5ASB,"Gabriel Gárcia Márquez, Chronicle of a death foretold : a typographic narrative.","Gabriel Gárcia Márquez, Chronicle of a death foretold : a typographic narrative.",,
DW5PRAEB,Come again,Come again,same,
JY9Y4AXX,"Gaby y el amor : seguido por, El pobre Rodríguez","Gaby y el amor : seguido por, El pobre Rodríguez",,
6BBVES93,Llamado por los malos poetas ; Lo cristalino,Llamado por los malos poetas ; Lo cristalino,,
XPFDFL9C,Umbanda Jackson,Umbanda Jackson,,
NVRCGSWV,Aún soltera,Aún soltera,,
ZCP4MY98,Delirios líricos,Delirios líricos,,
TDI6UIIQ,Anotaciones para una cumbia,Anotaciones para una cumbia,,
9TN9ELNF,Seudónimos de la muerte 1973-1983,Seudónimos de la muerte 1973-1983,,
KVC8CGLL,The far country,The far country,,
96994UU5,Words of Chan K'in : Lacandon jungle,Words of Chan K'in : Lacandon jungle,same,english language version other version has different title
KDYM4HVW,Invocation to the water spirits,Invocation to the water spirits,,
RP5H9K4J,The people's portraits of Bush.,The people's portraits of Bush.,,
TP48X73P,The stars,The stars,same,
F3QBXGRS,Pit's letter,Pit's letter,,
IUIAF2BG,Me a mound,Me a mound,,
EZHEFCGQ,The purification of fagus sylvatica var pendula,The purification of fagus sylvatica var pendula,,
3M7S4K3S,For the voice,For the voice,,
YJJPTV8A,The 24 hour self portrait.,The 24 hour self portrait,same,
4KEA7MUE,[I love you].,[I love you].,same,
9JB7XNFQ,Identity.,Identity,same,
GE5LNEJX,Making stuff and doing things.,Making stuff and doing things.,same,
GNEJCRC6,Retórica erótica,Retórica erótica,,
PSIY8T9P,Buenos Aires tour,Buenos Aires tour,same,
LRRPVEM6,Wonderwater (Alice Offshore),Wonderwater (Alice Offshore),,
ZE2MCHZ5,Telegrafías,Telegrafías,,
E26WR9FM,Pinturas en el cielo,Pinturas en el cielo,,
4EPKWKUP,Bully!,Bully!,,
P9KVEARW,Women,Women,same,
H98IN98U,Para ver antes de ir a la cama : (tædium vitæ),Para ver antes de ir a la cama : (tædium vitæ),,
2N8GIG9N,Colección Golosina.,Colección Golosina.,,
WHXWVCZV,El libro del fin del mundo,El libro del fin del mundo,,
E4K7PL4T,Artists' book,Artists' book,unsure,we have two books with the same title with and without apostrophe and even more where that is the title but in paraentheticals
XVHLYVHD,Fer : una fábula encendida y atolandrada.,Fer : una fábula encendida y atolandrada.,,
BBS6NWT3,War cut,War cut,,
KDU6G368,Stupa : construit et non construit = Stupa : built and unbuilt,Stupa : construit et non construit = Stupa : built and unbuilt,,
ZR3EVKZK,The Tower of the Winds.,The Tower of the Winds,,
Q9FZABYB,Zelda reflects.,Zelda reflects.,,
SBH8W73W,Turn over darling--,Turn over darling--,,
DFWYZM67,Will happiness find me?,Will happiness find me?,,
7BDVQGI4,Nets,Nets,,
3B5FYHRQ,En el último sendero el iniciado piensa,En el último sendero el iniciado piensa,,
V9XTTKYM,Well-heeled,Well-heeled,,
A92FKJZ9,Inside world.,Inside world.,,
XP8Q896Z,American English,American English,,
QJXCBLUI,Worldwise,Worldwise,,
CIMEKKTL,How Havana stole from New York the idea of Cuban art,How Havana stole from New York the idea of Cuban art,,
W8GSJ37L,Jerk,Jerk,,
SJWFU36R,Romanov,Romanov,,
PCWAH9NG,"Scott Joplin, Maple leaf rag","Scott Joplin, Maple leaf rag",,
2D9PRTRQ,Serif im,Serif im,,
US4EHVZK,Dr. Ameisenhaufen's fauna,Dr. Ameisenhaufen's fauna,,
ITFVWI5E,Boundless,Boundless,,
29L4MT3D,Insomnia.,Insomnia.,,
7J8ECK32,"The Pigs : Portugal, Italy, Greece and Spain through the eyes of the economists = Portugal, Italia, Grecia y España vistas por los economistas","The Pigs : Portugal, Italy, Greece and Spain through the eyes of the economists = Portugal, Italia, Grecia y España vistas por los economistas",,
JTVT9FA6,2013,2013,,
MFS2JKMD,Broken streets of my city = Las calles rotas de mi ciudad,Broken streets of my city = Las calles rotas de mi ciudad,,
S72T3HKR,Paisajes históricos urbanos de la ciudad de Matanzas,Paisajes históricos urbanos de la ciudad de Matanzas,,
UKQCWQW5,De la memoria : glosa para Eliseo Diego,De la memoria : glosa para Eliseo Diego,,
6AHEL62E,El partido de José Marti,El partido de José Marti,,
IS69FLWZ,Opus ciudad,Opus ciudad,,
G47YQHRP,"Era hombre, era mito, era bestia = Man, myth, beast","Era hombre, era mito, era bestia = Man, myth, beast",,
9U43YTJ3,Equilibristas,Equilibristas,,
SWUH8WI3,Todo es aluvión,Todo es aluvión,,
NRILB8GZ,"Como nieve en Sevilla, o, Sobre la depresión del 10","Como nieve en Sevilla, o, Sobre la depresión del 10",,
T22PU7LS,Asul,Asul,,
TUTWFGRR,Peluquería,Peluquería,,
TNXPPZZV,Ruta 23,Ruta 23,,
WHMM4CXE,Amigos y objetos preferidos,Amigos y objetos preferidos,,
LYIRKDR3,Verano 13,Verano 13,,
R225VLV5,Cuadernos y márgenes = Notebooks and margins,Cuadernos y márgenes = Notebooks and margins,,
T4Q8JGT8,530 : sá veldur sem á heldur,530 : sá veldur sem á heldur,,
TTB3LDMC,7 grabados mexicanos,7 grabados mexicanos,,
5NPQWAED,Poema mexicano,Poema mexicano,,
JPCRGULS,Old man and sea,Old man and sea,same,
EYRZQ8NE,Beautiful pig.,Beautiful pig,,
JAZK2D9Z,A real fighting man,A real fighting man,,
WYDD76TM,11.21.11 5:40 p.m.,11.21.11 5:40 p.m.,,
8F4C58S7,Olafur Eliasson : never tired of looking at each other : only the mountain and I.,Olafur Eliasson : never tired of looking at each other : only the mountain and I.,,
EACLZVKJ,Spam,Spam,,
IJ9GZ7UB,El hombre polar regresa a Stuttgart,El hombre polar regresa a Stuttgart,,
DNWLMB92,The terrorist's handbook,The terrorist's handbook,,
NHBU9AFB,Quatre mains,Quatre mains,,
ALB9FTPR,Various fires : and four running boys,Various fires : and four running boys,,
YAE9E8JN,"How the West was won, Copyright applied for","How the West was won, Copyright applied for",,
FXH3MFZ4,Cédula de Identidad Venezolana,Cédula de Identidad Venezolana,,
4EKGZRAP,Nine nameless mountains,Nine nameless mountains,,
4YEPSFHZ,El Palentino,El Palentino,,
T3HMA3Y3,Lone wolf,Lone wolf,,
2IIG9R9G,Noray,Noray,,
JIZSP3WW,Las Meninas,Las Meninas,,
DERSRJXG,On democracy,On democracy,,
BWD5RPQA,Mystic places,Mystic places,,
XSVTEUMY,Palpung Parkhang ; Kandze Village bodhisattva ; Dzogchen village home,Palpung Parkhang ; Kandze Village bodhisattva ; Dzogchen village home,,
7IYF93BL,The dry salvages,The dry salvages,,
PD9US4S4,Finite sets,Finite sets,,
ADTW9HSF,Details magazine,Details magazine,same,
HS6P2TL5,Cosas de viaje,Cosas de viaje,,
6ESQRWJV,Prehensil,Prehensil,,
C3H98RJT,עמידה. / Amidah.,Amidah.,,
TX24DZ7I,Speaking of scars,Speaking of scars,,
KIVV4JZW,Beata risográfica,Beata risográfica,,
QKRANKIT,Papalote,Papalote,,
