status,refKey,refTitle,bookKey,bookTitle,method,confidence,onPages,imagePages,verbatim
emitted,GDNNXY63,Artists' Books: Visual Studies Workshop Press,6NZ6I6GG,Life in a book,substring,0.990,"96, 158",,"Lyons, Joan. Artists' Books : Visual Studies Workshop Press. Rochester: Visual Studies Workshop Press, 2009. pp.96, 158."
emitted,SGBJXYRF,Esthétique du livre d'artiste 1960/1980 : une introduction à l'art contemporain,DIGWXKR8,Die Beschreibung des Papiers.,substring,0.990,"332, 2, 429",,"Moeglin-Delcroix, Anne. Esthétique Du Livre D’artiste 1960/1980 : Une Introduction à L'art Contemporain. Nouv. éd. rev. et augm. Marseille: Bibliothèque nationale de France, 2012. pp.332 n2, 429."
emitted,DHC5ATH7,Livres d'artistes,DIGWXKR8,Die Beschreibung des Papiers.,substring,0.990,,30,"Moeglin-Delcroix, Anne. Livres D’artistes. Paris: BPI, Centre Georges Pompidou, 1985. p.30."
emitted,STSHFPHF,Druckworks 1972-2012 : 40 years of books and projects,DIQ2N28Y,Spice advice,substring,0.990,137,,"Drucker, Johanna. Druckworks 1972-2012 : 40 Years of Books and Projects. 1st ed. Chicago, Ill.: Epicenter, Center for Book and Paper Arts, 2012. p.137."
emitted,XWS4XW55,500 handmade books : inspiring interpretations of a timeless form,DJ2DF9U8,Ti (Tea),substring,0.990,,216,"Tourtillott, Suzanne J. E, and Steve Miller. 500 Handmade Books: Inspiring Interpretations of a Timeless Form. New York: Lark Books, 2008. p.216."
emitted,G7EEP5BC,Gerhard Richter : books,DJKXATYJ,Gerhard Richter: November,substring,0.990,"20, 106, 109",108,"Elger, Dietmar. Gerhard Richter : Books. New York, NY: Gregory R. Miller & Co., 2014. pp.20, 106, 108, 109."
emitted,BCG5FURQ,The century of artists' books,DJV7C4T2,Notebooks,substring,0.990,273,,"Drucker, Johanna. The Century of Artists’ Books. 2nd ed. New York City: Granary Books, 2004. pp.273."
emitted,DHC5ATH7,Livres d'artistes,DJXQRA43,Gustave Flaubert - Madame Bovary,substring,0.990,,134,"Moeglin-Delcroix, Anne. Livres D’artistes. Paris: BPI, Centre Georges Pompidou, 1985. p.134."
emitted,XWS4XW55,500 handmade books : inspiring interpretations of a timeless form,DKWCVTTB,Breathe,substring,0.990,,18,"Tourtillott, Suzanne J. E, and Steve Miller. 500 Handmade Books: Inspiring Interpretations of a Timeless Form. New York: Lark Books, 2008. p.18."
emitted,A5RE4482,Artists' books : the book as a work of art 1963-2000,DLIGTZ97,13 potential poems: the incomplete works,substring,0.990,215,105,"Bury, Stephen. Artists’ Books : the Book as a Work of Art 1963-2000. London: Bernard Quaritch Ltd, 2015. pp.105, 215."
blocked,BEGEG5AI,Artists books,DLMADCM5,German Egypt,substring,0.950,,131,"Wasserman, Krystyna. The Book as Art : Artists’ Books from the National Museum of Women in the Arts. New York: Princeton Architectural Press, 2007. p.131."
emitted,SGBJXYRF,Esthétique du livre d'artiste 1960/1980 : une introduction à l'art contemporain,DLTJ2HAJ,Sans titre,substring,0.990,424,182,"Moeglin-Delcroix, Anne. Esthétique Du Livre D’artiste 1960/1980 : Une Introduction à L'art Contemporain. Nouv. éd. rev. et augm. Marseille: Bibliothèque nationale de France, 2012. pp.182, 424."
emitted,5ECYVY6V,"Hand, voice & vision: artists' books from Women's Studio Workshop",DM8Q3L8T,Great gams,substring,0.990,22,,"Walkup, Kathy. Hand, Voice & Vision: Artists’ Books from Women's Studio Workshop. Rosendale, N.Y.: Women’s Studio Workshop, 2010. p.22."
emitted,MWX5EQ95,Livres d'artistes: livres-objets = Artists' books : book-objects,DNAGR975,Bound and knotted pages,substring,0.990,,,"NRA Shakespeare international. Livres d'artistes: livres-objets = Artists' books : book-objects. Paris: CERPM, 1985. [cat. entry for ""Lipke Kathryn""]."
