lib1Key,twinKey,twinLib,method,confidence,review,lib1Title,twinTitle,decision,notes
F329C33W,HZCY87KY,3,fuzzy,0.990,,Manual de supervivencia para los días del gran desastre : un libro de autoayuda para los sobreviventes de la especie humana,Manual de supervivencia para los días del gran desastre : un libro de autoayuda para los sobreviventes de la especie humana,,
DAJ63WE5,WBM7HLVH,3,fuzzy,0.990,,"Wiederholung ist was ich liebe, nun also = Repeating is what I am loving, so then","Wiederholung ist was ich liebe, nun also = Repeating is what I am loving, so then",,
7GI4KT7B,ZF6MS5B8,3,fuzzy,0.990,,"George and Gilbert : the living sculptors, London : catalogue for their 1973 Australian visit.","George and Gilbert : the living sculptors, London : catalogue for their 1973 Australian visit.",,
PSR69JFR,GVBCDWK2,2,fuzzy,0.990,,It is... it isn't...,It is... it isn't...,,
Q6966ZEK,4M99PWG3,2,fuzzy,0.990,,Kex.,Kex.,,
7ZDEDDST,IKCYZUGN,3,fuzzy,0.990,,"Tea, c, d&c : cycles interrupted","Tea, c, d&c : cycles interrupted",,
LLBP3IUB,4GSPJSNA,2,fuzzy,0.990,,My 9 migraine cures,My 9 migraine cures,,
QZI8KM7C,LD8ZNBS9,3,fuzzy,0.990,,Then what? : photographs and folklore,Then what? : photographs and folklore,,
ZIBCI6YN,S9MF5YU9,3,fuzzy,0.990,,Libro quemado = Burnt book,Libro quemado = Burnt book,,
KNQTK6HU,P7E2WGTN,3,fuzzy,0.990,,Light in the head,Light in the head,,
SFWQ6TR9,HQVR749A,3,fuzzy,0.990,,Mine fields,Mine fields,,
C8BMD28G,4JUAYINW,3,fuzzy,0.990,,Escape,Escape,,
QJ3T4MCD,VIH8XP3C,3,fuzzy,0.990,,Heavenly bodies,Heavenly bodies,,
XDT53MWF,2VCP48MT,3,fuzzy,0.990,,Genre,Genre,same,
E7EA28MC,9T72BMX6,3,fuzzy,0.990,,Unmatched halves,Unmatched halves,,
S3KSCVWU,J3RXS2WM,3,fuzzy,0.990,,"Carl Andre, Robert Barry, Douglas Huebler, Joseph Kosuth, Sol Lewitt, Robert Morris, Lawrence Weiner.","Carl Andre, Robert Barry, Douglas Huebler, Joseph Kosuth, Sol Lewitt, Robert Morris, Lawrence Weiner.",same,
F4HK99Z3,4Y83US9K,3,fuzzy,0.990,,The David Park Scroll,The David Park Scroll,,
2NH7FQV4,PYUJ2RBM,3,fuzzy,0.990,,Rondo : an artist book,Rondo : an artist book,,
ZZ4K95WR,STIUWQVB,2,fuzzy,0.990,,Lines in two directions and in five colors on five colors with all their combinations,Lines in two directions and in five colors on five colors with all their combinations,,
TXIQ8XKT,NANX673H,3,fuzzy,0.990,,A journey to the Far Canine Range and the unexplored territory beyond Terrier Pass,A journey to the Far Canine Range and the unexplored territory beyond Terrier Pass,,
U2MF224T,8AJI45WJ,2,fuzzy,0.990,,I want to take picture,I want to take picture,,
M98I24JJ,TJ3BNNMS,2,fuzzy,0.990,,Homo futurus,Homo futurus,,
8M7R4N4L,AXZ3NT64,3,fuzzy,0.990,,"Heads bowed, eyes closed, no one looking around","Heads bowed, eyes closed, no one looking around",,
RURBWNX5,RZEC2AQG,3,fuzzy,0.990,,Talismans and signifiers with sphere into cube,Talismans and signifiers with sphere into cube,,
42CU6NPN,URPYB2MG,3,fuzzy,0.981,,The case for the burial of ancestors,"The case for the burial of ancestors, Book I",no,"we catalog them together with a note but this is incorrect practice; they are books 1 and 2 of a series of 3; book one is The case for the burial of ancestors: Geography and book 2 is The case for the burial of ancestors:Genealogy; book 3 which we don't have at unc is subtitled The history of the H Tabernacle in Exile"
AZ27E8TR,MHIPDEP7,2,fuzzy,0.990,,Sensations,Sensations,same,
7NQTY9J3,Y6WQSNVH,3,fuzzy,0.990,,Two pieces.,Two pieces.,,
BBKPIAK8,A9DSLD86,3,fuzzy,0.990,,How to commit suicide in South Africa,How to commit suicide in South Africa,,
CX95PR5D,X92A2CKN,2,fuzzy,0.990,,Picture/Readings,Picture/Readings,,
PG4L9B6A,HUK5SEEK,3,fuzzy,0.990,,128 details from a picture (Halifax 1978),128 details from a picture (Halifax 1978),,
4V7VXXUQ,G3VEIL5L,3,fuzzy,0.990,,AS in DS : an eye on the road,AS in DS : an eye on the road,,
8NA97YKF,9WE5BDAX,2,fuzzy,0.990,,In celebration of the discovery of the abandoned star factory,In celebration of the discovery of the abandoned star factory,,
RG6PMUM7,FI84TAA7,2,fuzzy,0.990,,Seattle subtext,Seattle subtext,,
BT9S9S3C,DT4TUKEZ,2,fuzzy,0.990,,Quincy book.,Quincy book.,,
86YAACKX,KRQWR5FB,3,fuzzy,0.990,,"""A declaration of dependence""","""A declaration of dependence""",,
XUVN7Z84,658XBXEA,3,fuzzy,1.000,,Clinkscale.,Clinkscale.,,
CMVN8WDV,GJNKPL29,3,fuzzy,0.990,,"955,000 : an exhibition","955,000 : an exhibition",,
7SDSLPJQ,H96M6V45,3,fuzzy,0.990,,Changing license,Changing license,,
BHZT8DG4,3A3PB94W,2,fuzzy,0.990,,"January 5-31, 1969","January 5-31, 1969",,
YKNYU9HC,KX46RJBD,3,fuzzy,0.990,,11 excerpts (1967-1970) = 11 [i.e. onze] extraits (1967-1970),11 excerpts (1967-1970) = 11 [i.e. onze] extraits (1967-1970),,
5L2TAD4P,D97WNGWB,3,fuzzy,0.990,,The queen of wands,The queen of wands,,
2G2XDJXS,PGVQAK7M,2,fuzzy,0.990,,Home,Home,unsure,"many works with this title, if authors match it is same"
P2EF5MPR,YQI24LZV,3,fuzzy,0.990,,Eight.,Eight,,
V9GG5ER6,24HSZQI4,3,fuzzy,0.990,,AT lanta 1945+50,AT lanta 1945 50,,
V4KYQD7L,46NR5MDM,3,fuzzy,0.990,,Vie impossible,Vie impossible,,
J8E6CK4D,AQWUCUIE,3,fuzzy,0.990,,Get your war on,Get your war on,,
38QRZLWU,4BPI6G2J,3,fuzzy,0.990,,Aunt Sallie's lament,Aunt Sallie's lament,,
RXHBT3BK,IY6GYNGC,3,fuzzy,0.990,,The contemporary picturesque,The contemporary picturesque,,
