canonicalKey,canonicalLib,held,sourceKeys,title,date,publisher,place,ISBN,ISSN,language,numPages,edition,series,seriesNumber,callNumber,url,extra,shortTitle,creators
8TIK5VIN,3,,3:8TIK5VIN; 2:8RRT7R2V,"Book as art XIII: artists' books about artists / Schipsi, Laureen.",2001-00-00 2001,National Museum of Women in the Arts,"Washington, D.C.",,,English,20,,,,,,,Book as art XIII,Krystyna Roscio Wasserman; National Museum of Women in the Arts (U. S.); National Museum of Women in the Arts (U.S.).
T7X9H33Q,3,,3:T7X9H33Q; 2:AA3Z3II4,"Book as art: 10th anniversary exhibition ; National Museum of Women in the Arts, Library and Research Center, March 10 - October 4, 1997, Washington, D.C.",1997-00-00 1997,The Museum,"Washington, D.C.",,,English,23,,,,,,,Book as art,Krystyna Wasserman; National Museum of Women in the Arts (U. S.)
JE7GEGCC,3,,3:JE7GEGCC; 2:GU4M3S2T,Book as Art: [catalog].,1993-00-00 1993-,"National Museum of Women in the Arts, Library and Research Center","Washington, D.C.",,,English,,,,,,,,Book as Art,National Museum of Women in the Arts (U. S.); Library and Research Center.
H8Y2NJJR,3,,3:H8Y2NJJR; 2:G5FDIGPT,Book as artwork 1960/1972,2010-00-00 2010,"6 deacdes Books, ;",New York,0-9829694-0-6,,,,2nd ed.,,,,,,,Germano Celant
TU76TJTL,3,,3:TU76TJTL; 2:B6J3BQ2D,"Books as art: August 30-October 6, 1991, Boca Raton Museum of Art.",1991-00-00 1991,The Museum,"[Boca Raton, Fla.]",,,English,80,,,,,,,Books as art,Tony Zwicker; donor.; Boca Raton Museum of Art; Artists' Books Collection (Library of Congress)
VX98NX26,3,,3:VX98NX26; 2:TTQPWAEA,"Books as objects / Vogler, Donald.",1993-00-00 1993,Comus Gallery,"Portland, Or. (215 S.W. 1st Ave., Portland 97204)",,,English,,,,,,,,,Harriet Bart; Comus Gallery
7R3A9H3R,3,,3:7R3A9H3R; 2:TACT9WQQ,Books by artists,1981-00-00 1981-,Printed Matter,"New York, N.Y.",,,English,,,,,,,,,Inc Printed Matter
N5K58P6L,3,,3:N5K58P6L; 2:B7GBPT9Q,"Books by artists / Celant, Germano.",1981-00-00 1981,Art Metropole,"Toronto, Canada",0-920956-10-6,,English,,,,,,,,,Tim Guest
FAEUXXHV,3,,3:FAEUXXHV; 2:VXD3U574,Booktrek : selected essays on artists' books (1972-2010),2013-00-00 2013,JRP/Ringier ;,Zurich,2840665743 (Presses du reel : pbk.),,,,,,,,,,Booktrek,Clive Phillpot; Lionel Bovier
IMU3SDMQ,3,,3:IMU3SDMQ; 2:P563U8UC,Bookwork: medium to object to concept to art,2011-00-00 2011,University of Chicago Press,Chicago ; London,978-0-226-77391-9,,English,249,,,,,,,Bookwork,Garrett Stewart
R9TPTHIC,3,,3:R9TPTHIC; 2:M5TK4KZM,"Breaking the bindings : American book art now : an exhibition of creative bookmaking produced in the United States since 1980, Elvehjem Museum of Art, 6 May-3 July 1983.",1983-00-00 1983,Elvehjem Museum of Art?],"Madison, Wis.",,,,,,,,,,,Breaking the bindings,Walter Hamady
5GMG2248,3,,3:5GMG2248; 2:AVIIPSGG,Cartálogo bicentenario,2013-00-00 2013,Biblioteca Nacional de Chile,"Santiago, Chile",,,,,,,,,,,,Soledad Abarca; Biblioteca Nacional (Chile); Carolina Larrea
